規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.5,18,16.9,146.1,153.3,136,130.6,135.4,123.9,15.5,17.9,12.1
100～499人,17.5,18.1,16.6,145.6,155.2,132.4,131,137.9,121.6,14.6,17.3,10.8
100人以上,17.5,18.1,16.8,145.8,154.2,134.2,130.8,136.6,122.7,15,17.6,11.5
30～99人,17.2,18,16.2,138.6,150.7,123.4,126.8,136.3,115,11.8,14.4,8.4
５～29人,16.2,17.4,15,123.6,141.2,107.1,115.9,130,102.6,7.7,11.2,4.5
30人以上,17.4,18.1,16.6,143.6,153.1,130.7,129.6,136.5,120.2,14,16.6,10.5
５人以上,17.1,17.9,16.1,138.1,150.2,123.3,125.8,134.9,114.7,12.3,15.3,8.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年３月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
