規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,16.9,17.3,16.3,139.7,146.3,130.6,125.8,130.2,119.7,13.9,16.1,10.9
100～499人,17,17.4,16.4,140,148.1,129.1,126.9,132.7,119.1,13.1,15.4,10
100人以上,16.9,17.3,16.4,139.8,147.1,129.8,126.3,131.4,119.4,13.5,15.7,10.4
30～99人,16.5,17.2,15.7,132.3,143.1,118.9,121.6,130,111.2,10.7,13.1,7.7
５～29人,15.1,16.2,14.1,114.9,130.1,100.4,108.2,120.7,96.3,6.7,9.4,4.1
30人以上,16.8,17.3,16.2,137.5,145.9,126.3,124.9,131,116.8,12.6,14.9,9.5
５人以上,16.4,17,15.5,131.3,142.1,118.2,120.3,128.5,110.4,11,13.6,7.8
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
