規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.2,162.4,145.3,17.1,13.6,92.7,89.1,3.6
100～499人,19.4,164.4,148.3,16.1,13.9,91.1,85.8,5.3
100人以上,19.3,163.4,146.8,16.6,13.7,91.9,87.3,4.6
30～99人,19.9,167.7,152.4,15.3,12.8,77,75,2
５～29人,20.2,167.3,156.2,11.1,11.8,69.1,67.3,1.8
30人以上,19.5,164.6,148.4,16.2,13.4,85.6,82.1,3.5
５人以上,19.6,165.2,150.1,15.1,12.6,77.8,75.1,2.7
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年４月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
