規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,447432,527393,335464,432126,508078,325771,396036,36090,15306,19315,9693
100～499人,389933,461081,294169,380573,449179,288230,353421,27152,9360,11902,5939
100人以上,418557,494368,314490,406237,478745,306704,374636,31601,12320,15623,7786
30～99人,331024,390389,256324,323622,382557,249464,302485,21137,7402,7832,6860
５～29人,257584,325362,193087,249962,315231,187853,237830,12132,7622,10131,5234
30人以上,391550,463115,295924,380747,449834,288434,352374,28373,10803,13281,7490
５人以上,354629,429378,263744,344703,416868,256960,320806,23897,9926,12510,6784
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年２月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
