規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,498987,588587,372602,441614,517399,334715,402377,39237,57373,71188,37887
100～499人,442695,525574,329171,387022,454560,294511,357174,29848,55673,71014,34660
100人以上,470647,557057,350551,414130,485956,314303,379620,34510,56517,71101,36248
30～99人,381835,457535,287048,333351,392464,259334,311741,21610,48484,65071,27714
５～29人,267146,337328,200972,253722,318543,192603,240693,13029,13424,18785,8369
30人以上,443121,527162,330055,389094,457872,296561,358582,30512,54027,69290,33494
５人以上,394532,480848,289358,351716,423880,263785,326032,25684,42816,56968,25573
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年３月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
