規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,492046,474605,434229,40376,17441,152735,151534,143755,7779,1201
100～499人,439558,428471,396991,31480,11087,139930,139270,133920,5350,660
100人以上,466213,451899,415901,35998,14314,145570,144671,138251,6420,899
30～99人,401587,392277,364906,27371,9310,118582,116925,114558,2367,1657
５～29人,368058,355771,336873,18898,12287,97080,96236,93934,2302,844
30人以上,447966,435065,401503,33562,12901,134016,132793,128108,4685,1223
５人以上,430746,417977,387575,30402,12769,116904,115857,112276,3581,1047
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年２月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
