規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,17.5,147.3,131.9,15.4,12.9,86.3,82.7,3.6
100～499人,17.7,150.8,136.1,14.7,13.2,85.6,80.6,5
100人以上,17.6,149,134,15,13.1,85.9,81.5,4.4
30～99人,17.9,151,137.5,13.5,12.2,73.2,71.4,1.8
５～29人,17.9,148.8,138.8,10,11.1,64.8,63.1,1.7
30人以上,17.7,149.6,135,14.6,12.7,80.5,77.2,3.3
５人以上,17.7,149.4,135.8,13.6,12,73.2,70.6,2.6
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年１月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
