産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,2.4,2.12,2.04,1.97
"鉱業,採石業,砂利採取業",2.1,1.01,2.1,1.01
建設業,1.62,1.04,1.72,1.24
製造業,0.91,1.23,1.04,1.2
電気・ガス・熱供給・水道業,1.82,2.31,2.08,2.64
情報通信業,1.52,1.38,1.27,1.38
"運輸業,郵便業",1.33,0.98,1.22,0.96
"卸売業,小売業",2.18,2.24,1.76,1.93
"金融業,保険業",1.27,1.22,1.08,1.34
"不動産業,物品賃貸業",2.06,2.18,1.5,1.91
"学術研究,専門・技術サービス業",1.39,1.26,1.56,1.15
"宿泊業,飲食サービス業",5.73,4.28,4.27,4.03
"生活関連サービス業,娯楽業",4.5,2.56,4.06,2.27
"教育,学習支援業",3.49,2.05,3.32,2.21
"医療,福祉",2.69,2.54,2.28,2.17
複合サービス事業,0.96,0.25,0.56,0.41
サービス業（他に分類されないもの）,2.79,2.94,3.07,3.23
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年５月分,,,,
第４表  規模、産業別労働異動率,,,,
