規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,487563,571225,371088,450582,526080,345475,411333,39249,36981,45145,25613
100～499人,421073,499440,317985,391913,461474,300408,361115,30798,29160,37966,17577
100人以上,454049,535474,343889,421010,493904,322392,386021,34989,33039,41570,21497
30～99人,354188,411604,281811,337601,393408,267252,315509,22092,16587,18196,14559
５～29人,272563,344748,204605,257141,321231,196804,244002,13139,15422,23517,7801
30人以上,423176,497985,324162,395223,463489,304870,364221,31002,27953,34496,19292
５人以上,381880,460697,286938,357363,428873,271224,331259,26104,24517,31824,15714
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年４月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
