規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,調査産業計,8493915,4667640,3826275,160854,78889,81965,183690,96258,87432,8471079,4650271,3820808,23.8,14.1,35.6
５人以上,"鉱業,採石業,砂利採取業",1219,921,298,18,14,4,8,7,1,1229,928,301,－,－,－
５人以上,建設業,376991,297297,79694,3389,2389,1000,3995,3115,880,376385,296571,79814,4.1,1.7,13.1
５人以上,製造業,440590,300607,139983,2361,1741,620,3271,2014,1257,439680,300334,139346,10.2,4.3,22.9
５人以上,電気・ガス・熱供給・水道業,41495,32773,8722,656,519,137,2140,1542,598,40011,31750,8261,1.6,1.2,3.2
５人以上,情報通信業,1015553,692358,323195,10848,6408,4440,16438,10534,5904,1009963,688232,321731,5.4,2.1,12.4
５人以上,"運輸業,郵便業",423674,322501,101173,5031,3629,1402,5822,4141,1681,422883,321989,100894,10.7,8.4,18.2
５人以上,"卸売業,小売業",1650518,886031,764487,28398,14671,13727,29594,15825,13769,1649322,884877,764445,25.9,14.7,39
５人以上,"金融業,保険業",389490,182741,206749,3533,1704,1829,4395,2458,1937,388628,181987,206641,7.5,1.8,12.6
５人以上,"不動産業,物品賃貸業",273761,174168,99593,2605,1466,1139,3446,2014,1432,272920,173620,99300,13.6,10.3,19.5
５人以上,"学術研究,専門・技術サービス業",554824,331018,223806,9352,5573,3779,8172,4801,3371,556004,331790,224214,9,5.3,14.5
５人以上,"宿泊業,飲食サービス業",669123,312251,356872,35335,16471,18864,34377,18647,15730,670081,310075,360006,68.2,54.3,80.1
５人以上,"生活関連サービス業,娯楽業",230651,101983,128668,7477,4078,3399,6262,3640,2622,231866,102421,129445,36.6,27.8,43.5
５人以上,"教育,学習支援業",428743,204103,224640,8936,4342,4594,20814,10584,10230,416865,197861,219004,39.6,30.9,47.5
５人以上,"医療,福祉",875942,236801,639141,16650,4812,11838,20409,6248,14161,872183,235365,636818,36.1,29.8,38.4
５人以上,複合サービス事業,26832,16288,10544,370,223,147,608,497,111,26594,16014,10580,19.4,10.3,33.2
５人以上,サービス業（他に分類されないもの）,1094509,575799,518710,25895,10849,15046,23939,10191,13748,1096465,576457,520008,26.3,17.3,36.2
30人以上,調査産業計,6149751,3529559,2620192,97065,48851,48214,115818,63341,52477,6130998,3515069,2615929,17.4,9.7,27.7
30人以上,"鉱業,採石業,砂利採取業",1219,921,298,18,14,4,8,7,1,1229,928,301,－,－,－
30人以上,建設業,247791,192947,54844,2316,1690,626,3351,2735,616,246756,191902,54854,2.9,0.8,10.5
30人以上,製造業,318388,220698,97690,1958,1437,521,2123,1370,753,318223,220765,97458,7.2,2.7,17.4
30人以上,電気・ガス・熱供給・水道業,36521,29353,7168,656,519,137,2140,1542,598,35037,28330,6707,1.4,1.3,1.7
30人以上,情報通信業,912350,625730,286620,9596,5761,3835,13750,9198,4552,908196,622293,285903,5.2,1.8,12.7
30人以上,"運輸業,郵便業",353400,268477,84923,4755,3353,1402,4429,3237,1192,353726,268593,85133,8.4,6.9,13.3
30人以上,"卸売業,小売業",1062179,605393,456786,13036,7033,6003,13970,8599,5371,1061245,603827,457418,17,8.4,28.3
30人以上,"金融業,保険業",329055,162084,166971,2578,1437,1141,3179,2008,1171,328454,161513,166941,6.6,1.8,11.2
30人以上,"不動産業,物品賃貸業",203121,128045,75076,1716,958,758,2103,1419,684,202734,127584,75150,10,7.7,14
30人以上,"学術研究,専門・技術サービス業",432171,267379,164792,6301,3663,2638,6154,3730,2424,432318,267312,165006,5.3,3.1,9
30人以上,"宿泊業,飲食サービス業",262468,130853,131615,12551,6589,5962,8936,4865,4071,266083,132577,133506,49.3,34.1,64.5
30人以上,"生活関連サービス業,娯楽業",132640,58367,74273,2531,1297,1234,2878,1335,1543,132293,58329,73964,31.9,21.1,40.5
30人以上,"教育,学習支援業",334311,167637,166674,4950,1679,3271,17441,8902,8539,321820,160414,161406,32.9,24.6,41.1
30人以上,"医療,福祉",563489,176267,387222,9118,3154,5964,13236,4950,8286,559371,174471,384900,31.6,26.7,33.9
30人以上,複合サービス事業,16499,11531,4968,74,67,7,358,319,39,16215,11279,4936,18.9,11.9,35
30人以上,サービス業（他に分類されないもの）,944149,483877,460272,24911,10200,14711,21762,9125,12637,947298,484952,462346,26.7,18.1,35.8
,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年３月分,,,,,,,,,,,,,,,,
第３表  規模、産業、性別常用労働者数及びパートタイム労働者比率,,,,,,,,,,,,,,,,
