規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.5,18.9,17.8,153.6,161,143.4,138.2,143.3,131.2,15.4,17.7,12.2
100～499人,18.5,19.2,17.7,152.6,162.9,139,138.2,146,128,14.4,16.9,11
100人以上,18.5,19.1,17.8,153.1,161.9,141.1,138.2,144.6,129.5,14.9,17.3,11.6
30～99人,18.2,19.1,17.1,146.3,159,130.2,134.1,144.3,121.2,12.2,14.7,9
５～29人,16.8,18,15.6,127.7,144.7,111.6,120.3,134.2,107.2,7.4,10.5,4.4
30人以上,18.4,19.1,17.6,150.9,161,137.6,136.9,144.5,126.9,14,16.5,10.7
５人以上,18,18.8,17,144.6,157.1,129.6,132.4,142,120.8,12.2,15.1,8.8
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年４月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
