規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19,159.6,143.2,16.4,13.5,91.1,87.5,3.6
100～499人,19.1,161.3,146.4,14.9,13.9,89.4,84.2,5.2
100人以上,19.1,160.4,144.8,15.6,13.7,90.1,85.6,4.5
30～99人,19.3,161.6,148,13.6,12.7,76.1,74.3,1.8
５～29人,19.2,159.9,149.4,10.5,11.7,68.3,66.5,1.8
30人以上,19.1,160.8,145.7,15.1,13.3,84.4,81,3.4
５人以上,19.2,160.6,146.5,14.1,12.6,76.9,74.2,2.7
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年５月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
