規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.3,18.8,17.8,150.8,157.9,141.1,136.1,140.7,129.7,14.7,17.2,11.4
100～499人,18.2,18.8,17.6,149.5,158.5,137.4,136.2,142.9,127.2,13.3,15.6,10.2
100人以上,18.3,18.8,17.7,150.1,158.2,139.3,136.1,141.8,128.5,14,16.4,10.8
30～99人,17.8,18.5,16.9,142.4,153.9,128,131.4,140.5,120.1,11,13.4,7.9
５～29人,16.2,17.3,15.1,122.8,139.2,107.7,115.8,129.1,103.5,7,10.1,4.2
30人以上,18.1,18.7,17.4,147.8,156.9,135.7,134.7,141.4,125.8,13.1,15.5,9.9
５人以上,17.6,18.4,16.7,140.9,152.7,127,129.5,138.5,118.9,11.4,14.2,8.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年５月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
