規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.2,154.4,137.2,17.2,12.8,88.4,84.6,3.8
100～499人,18.3,157.3,140.8,16.5,13.3,87.4,82.3,5.1
100人以上,18.3,155.8,139,16.8,13.1,87.8,83.3,4.5
30～99人,18.7,158.2,143.4,14.8,12.6,75.4,73.3,2.1
５～29人,19.4,161.6,149.9,11.7,11.6,68.2,66.3,1.9
30人以上,18.4,156.4,140.2,16.2,12.9,82.6,79.1,3.5
５人以上,18.6,157.6,142.3,15.3,12.3,75.8,73,2.8
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年３月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
