規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,17.7,149,132.7,16.3,12.6,85.3,81.7,3.6
100～499人,18.1,153.8,138.6,15.2,13.3,86.8,81.7,5.1
100人以上,17.9,151.4,135.6,15.8,13,86.1,81.7,4.4
30～99人,18.6,157.1,142.9,14.2,12.5,73.5,71.9,1.6
５～29人,19.3,159.7,149,10.7,11.3,65.4,63.6,1.8
30人以上,18.1,153,137.7,15.3,12.8,80.7,77.5,3.2
５人以上,18.3,154.4,140.1,14.3,12.1,73.7,71.1,2.6
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年２月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
