規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,547439,482166,438554,43612,65273,160723,158501,149810,8691,2222
100～499人,502067,435810,401192,34618,66257,146260,143430,137403,6027,2830
100人以上,525148,459392,420198,39194,65756,152413,149842,142681,7161,2571
30～99人,462626,399629,372267,27362,62997,121552,119825,116747,3078,1727
５～29人,380769,359030,338836,20194,21739,101440,100143,97563,2580,1297
30人以上,507239,442273,406469,35804,64966,139415,137200,131759,5441,2215
５人以上,480035,424367,391920,32447,55668,121532,119749,115655,4094,1783
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年３月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
