規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,16.9,17.3,16.4,140.2,146.2,131.4,126.2,130.2,120.2,14,16,11.2
100～499人,17.2,17.6,16.6,142.3,150.6,131.1,129.1,134.8,121.5,13.2,15.8,9.6
100人以上,17.1,17.4,16.5,141.3,148.4,131.1,127.7,132.5,120.8,13.6,15.9,10.3
30～99人,16.4,17,15.6,132.4,142.5,120.2,121.5,128.9,112.5,10.9,13.6,7.7
５～29人,15,16.1,14,113.3,128.7,98.8,106.8,119.5,94.8,6.5,9.2,4
30人以上,16.8,17.3,16.2,138.4,146.6,127.4,125.7,131.4,118,12.7,15.2,9.4
５人以上,16.3,17,15.5,130.9,141.8,117.7,120,128.2,110.1,10.9,13.6,7.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
