規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,542578,484688,441994,42694,57890,165528,163654,155760,7894,1874
100～499人,468958,435656,402019,33637,33302,147312,145194,138777,6417,2118
100人以上,506238,460485,422262,38223,45753,155214,153202,146145,7057,2012
30～99人,440822,400420,374510,25910,40402,122342,121586,117530,4056,756
５～29人,383842,357141,338492,18649,26701,100520,100096,97656,2440,424
30人以上,487450,443234,408547,34687,44216,141893,140390,134549,5841,1503
５人以上,465473,424972,393687,31285,40501,122396,121401,117163,4238,995
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年５月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
