産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,6.27,4.22,6.71,4.12
"鉱業,採石業,砂利採取業",8.71,4.23,8.71,4.23
建設業,6.34,3.2,8.11,3.34
製造業,4.05,2.47,4.78,2.82
電気・ガス・熱供給・水道業,7.32,8.16,8.36,9.32
情報通信業,6.6,2.65,6.69,2.66
"運輸業,郵便業",4.22,2.41,4.74,2.74
"卸売業,小売業",4.61,3.71,5.18,3.36
"金融業,保険業",9.07,5.74,9.69,5.99
"不動産業,物品賃貸業",6.12,3.64,5.9,3.02
"学術研究,専門・技術サービス業",6.49,3.69,7.78,3.69
"宿泊業,飲食サービス業",6.88,6.77,7.06,7.05
"生活関連サービス業,娯楽業",9.21,5.52,7.56,4.75
"教育,学習支援業",12.16,8.97,13.61,9.66
"医療,福祉",7.48,4.48,7.39,4.38
複合サービス事業,7.23,6.96,7.68,7.34
サービス業（他に分類されないもの）,4.78,4.04,5.07,4.12
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年４月分,,,,
第４表  規模、産業別労働異動率,,,,
