規模,産業,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
５人以上,調査産業計,6621116,108841,102465,6628905,2026426,98513,81149,2042377
５人以上,"鉱業,採石業,砂利採取業",1284,27,13,1298,－ ,0,0,－ 
５人以上,建設業,372485,6060,3922,374594,15711,217,96,15861
５人以上,製造業,405941,3084,4870,404450,44074,1001,660,44120
５人以上,電気・ガス・熱供給・水道業,38945,709,904,38750,731,14,12,733
５人以上,情報通信業,992347,13885,13383,992819,57441,2039,1097,58413
５人以上,"運輸業,郵便業",386909,4983,3591,388311,43633,736,630,43729
５人以上,"卸売業,小売業",1249563,20082,18863,1251201,414595,16226,18409,411993
５人以上,"金融業,保険業",372202,4803,4585,372420,29355,295,299,29351
５人以上,"不動産業,物品賃貸業",240755,4852,4854,240748,38916,897,1231,38587
５人以上,"学術研究,専門・技術サービス業",523241,6567,5807,523915,48336,1401,1373,48450
５人以上,"宿泊業,飲食サービス業",213049,4689,4891,212992,457794,33764,23838,467575
５人以上,"生活関連サービス業,娯楽業",149702,5671,2223,153215,90734,5142,3939,91872
５人以上,"教育,学習支援業",255327,4851,2829,257349,174850,10157,5977,179030
５人以上,"医療,福祉",586293,10522,11236,585948,312035,13641,11579,313728
５人以上,複合サービス事業,21259,211,44,21338,5405,46,22,5517
５人以上,サービス業（他に分類されないもの）,811814,17845,20450,809557,292816,12937,11987,293418
30人以上,調査産業計,5219788,81214,82752,5219655,1073282,47201,41007,1078071
30人以上,"鉱業,採石業,砂利採取業",1284,27,13,1298,－ ,0,0,－ 
30人以上,建設業,250886,4375,3109,252123,7640,74,96,7647
30人以上,製造業,303792,2680,3393,303350,24062,726,540,23977
30人以上,電気・ガス・熱供給・水道業,34126,709,904,33931,576,14,12,578
30人以上,情報通信業,893367,10058,12138,891257,51425,1908,875,52488
30人以上,"運輸業,郵便業",331910,3864,3096,332688,28891,520,361,29040
30人以上,"卸売業,小売業",912983,13791,15322,912164,167582,5263,5506,166627
30人以上,"金融業,保険業",320531,3458,4270,319719,20070,218,299,19989
30人以上,"不動産業,物品賃貸業",185171,2664,3670,184160,23407,456,323,23545
30人以上,"学術研究,専門・技術サービス業",427655,6239,4572,429236,22349,759,621,22573
30人以上,"宿泊業,飲食サービス業",134969,2472,2502,134952,131136,8883,8215,131791
30人以上,"生活関連サービス業,娯楽業",91115,2812,1268,92724,44887,2716,1817,45721
30人以上,"教育,学習支援業",214980,4599,2557,217022,119551,6498,4837,121212
30人以上,"医療,福祉",409452,6613,6635,409651,166762,6545,5873,167213
30人以上,複合サービス事業,13183,45,44,13185,3087,46,22,3110
30人以上,サービス業（他に分類されないもの）,694384,16808,19259,692195,261857,12575,11610,262560
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年５月分,,,,,,,,,
第７表  規模、産業、就業形態別常用労働者数,,,,,,,,,
