規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,511333,482336,443366,38970,28997,150146,148123,140233,7890,2023
100～499人,456212,433519,398219,35300,22693,157422,155950,149764,6186,1472
100人以上,483983,458114,420965,37149,25869,154681,153002,146174,6828,1679
30～99人,394101,385366,359726,25640,8735,115155,113866,110341,3525,1289
５～29人,379902,359352,340837,18515,20550,95113,94233,91918,2315,880
30人以上,457060,436323,402621,33702,20737,137638,136127,130724,5403,1511
５人以上,439308,418614,388407,30207,20694,115744,114558,110745,3813,1186
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年１月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
