規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,463257,547187,346451,434459,510858,328134,399541,34918,28798,36329,18317
100～499人,416822,486923,322586,383544,452367,291026,353678,29866,33278,34556,31560
100人以上,440011,517238,334385,408970,481791,309372,376581,32389,31041,35447,25013
30～99人,332353,390848,259601,323114,379307,253224,303720,19394,9239,11541,6377
５～29人,265252,335663,198181,252703,319469,189104,240735,11968,12549,16194,9077
30人以上,406802,479355,310450,382486,451073,291401,354106,28380,24316,28282,19049
５人以上,367844,444130,275461,346767,418812,259520,322904,23863,21077,25318,15941
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年１月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
