規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,調査産業計,19.2,160.6,146.5,14.1,12.6,76.9,74.2,2.7
５人以上,"鉱業,採石業,砂利採取業",18.6,155.8,136.5,19.3,－,－,－,－
５人以上,建設業,19,160.3,145,15.3,12.6,74.2,73.4,0.8
５人以上,製造業,18.6,156.5,144.2,12.3,14.8,97.1,93,4.1
５人以上,電気・ガス・熱供給・水道業,19,163,144.4,18.6,16.3,124.2,123.2,1
５人以上,情報通信業,19.1,163.4,146.5,16.9,13.9,97.9,88.2,9.7
５人以上,"運輸業,郵便業",19.4,165.6,148.1,17.5,15.7,109.5,104.1,5.4
５人以上,"卸売業,小売業",19,158.8,147.4,11.4,13.2,80,78,2
５人以上,"金融業,保険業",19.4,162.1,142.7,19.4,16,106.1,102.7,3.4
５人以上,"不動産業,物品賃貸業",19.3,162.4,147,15.4,14.3,80.2,78.6,1.6
５人以上,"学術研究,専門・技術サービス業",19.2,164.8,148.7,16.1,13.4,81.7,78.7,3
５人以上,"宿泊業,飲食サービス業",19.6,168.4,152.4,16,11,64.8,62.3,2.5
５人以上,"生活関連サービス業,娯楽業",20.3,166,153.9,12.1,11.4,70.9,69.2,1.7
５人以上,"教育,学習支援業",19.5,150.5,139.8,10.7,9.3,48.6,48.1,0.5
５人以上,"医療,福祉",19.3,156.2,147.1,9.1,11.9,68.6,67.1,1.5
５人以上,複合サービス事業,19.4,163.1,149.3,13.8,17.3,103.3,99.7,3.6
５人以上,サービス業（他に分類されないもの）,19.1,159.2,145.4,13.8,15.3,102.6,97.8,4.8
30人以上,調査産業計,19.1,160.8,145.7,15.1,13.3,84.4,81,3.4
30人以上,"鉱業,採石業,砂利採取業",18.6,155.8,136.5,19.3,－,－,－,－
30人以上,建設業,18.7,159.9,142.6,17.3,12.9,77.3,76.3,1
30人以上,製造業,18.7,159,145.4,13.6,15.5,113.6,106.4,7.2
30人以上,電気・ガス・熱供給・水道業,19,163.1,144,19.1,15.3,115.5,114.3,1.2
30人以上,情報通信業,19.1,163.9,146.5,17.4,14.3,102.1,91.4,10.7
30人以上,"運輸業,郵便業",19.4,165.2,147.3,17.9,16.7,119.5,112,7.5
30人以上,"卸売業,小売業",18.9,158.5,146.4,12.1,14.4,88.4,86.2,2.2
30人以上,"金融業,保険業",19.3,163.2,142,21.2,15.7,106.2,101.6,4.6
30人以上,"不動産業,物品賃貸業",19.3,162.6,146.8,15.8,15.8,78.9,77.4,1.5
30人以上,"学術研究,専門・技術サービス業",19.3,166.1,149.4,16.7,15.5,94.5,91.8,2.7
30人以上,"宿泊業,飲食サービス業",19.2,163.4,148.5,14.9,11.3,68.2,65.5,2.7
30人以上,"生活関連サービス業,娯楽業",20.2,163.2,147.7,15.5,10,60.5,58.1,2.4
30人以上,"教育,学習支援業",19.8,152.4,141.1,11.3,9,50,49.4,0.6
30人以上,"医療,福祉",19.4,156.1,145.8,10.3,12.2,75.5,73.5,2
30人以上,複合サービス事業,19.4,168.7,148.7,20,18.5,99.1,93,6.1
30人以上,サービス業（他に分類されないもの）,19,158.2,144.2,14,15.3,103.6,98.7,4.9
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年５月分,,,,,,,,,
第６表  規模、産業、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,
