規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17,17.5,16.4,140.6,148,130.4,126,130.9,119.2,14.6,17.1,11.2
100～499人,17.3,17.8,16.6,142.7,151.7,130.7,129.2,135.6,120.6,13.5,16.1,10.1
100人以上,17.2,17.6,16.5,141.7,149.8,130.5,127.6,133.2,119.9,14.1,16.6,10.6
30～99人,17,17.9,16,136.3,149.4,119.8,125.2,135.3,112.5,11.1,14.1,7.3
５～29人,16,17.2,14.8,121.3,138.6,104.8,114.2,128.4,100.7,7.1,10.2,4.1
30人以上,17.1,17.7,16.3,140,149.7,127.1,126.9,133.9,117.5,13.1,15.8,9.6
５人以上,16.8,17.6,15.9,134.9,147,120.1,123.4,132.5,112.2,11.5,14.5,7.9
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
