規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,494167,588634,366665,443469,520650,339298,405243,38226,50698,67984,27367
100～499人,415969,490332,317697,387804,453109,301503,358651,29153,28165,37223,16194
100人以上,454735,539287,341824,415400,486745,320125,381749,33651,39335,52542,21699
30～99人,369079,428278,294836,337608,394487,266276,316621,20987,31471,33791,28560
５～29人,268941,341630,201754,252896,317192,193468,240821,12075,16045,24438,8286
30人以上,428405,505808,327024,391487,458921,303164,361729,29758,36918,46887,23860
５人以上,384871,466189,288104,353652,424719,269082,328722,24930,31219,41470,19022
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年５月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
