"年月[西暦]","収受日","業態","届出種類","施設名称","施設所在地","施設方書","施設電話番号","許可番号","業態廃止日"
"202304","2023/3/31","高度管理医療機器販売業・貸与業","廃止","ＡＴＨＥＮＡ株式会社","東京都港区麻布十番二丁目19番8号","Dコレクション3F","03-3584-1188","第4501031400069号","2023/4/7"
"202304","2023/4/13","高度管理医療機器販売業・貸与業","廃止","株式会社インヴィクタ","東京都港区赤坂二丁目16番6号","赤坂TKビル",,"28港み生機器第197号","2023/1/25"
"202304","2023/4/18","高度管理医療機器販売業・貸与業","廃止","株式会社真羅メディカルカンパニーＷＯＷＳｈｏｏｚ","東京都港区芝五丁目13番12号","第2定方ビル1F",,"4港み生機器第334号","2023/4/11"
"202304","2023/4/5","高度管理医療機器販売業","廃止","おだいじに薬局　芝大門店","東京都港区芝大門二丁目5番1号","アルテビルディングB2階","03-5408-6622","2港み生機器第178号","2023/3/31"
"202304","2023/4/4","高度管理医療機器販売業・貸与業","廃止","白金台南薬局","東京都港区白金六丁目6番1号","マンション芝白金106号","03-5421-0880","4港み生機器第272号","2023/3/31"
"202304","2023/4/26","高度管理医療機器販売業・貸与業","廃止","株式会社エイマック　販売事業部","東京都港区新橋二丁目19番10号","新橋マリンビル3階","03-6215-8065","28港み生機器第117号","2023/4/1"
"202304","2023/4/17","高度管理医療機器販売業・貸与業","廃止","双日総合管理株式会社　ビル事業本部","東京都港区台場二丁目3番1号","トレードピアお台場4階",,"29港み生機器第9号","2023/4/11"
"202304","2023/4/21","高度管理医療機器販売業・貸与業","廃止","株式会社さ・く・ら","東京都港区高輪四丁目22番1号","フィールド高輪3階","03-3449-4161","2港み生機器第48号","2023/3/31"
"202304","2023/4/4","高度管理医療機器販売業・貸与業","廃止","三菱ＨＣキャピタルオートリース株式会社","東京都港区西新橋一丁目3番1号","西新橋スクエア8階","03-3503-7401","2港み生機器第34号","2023/3/31"
"202304","2023/4/26","高度管理医療機器販売業・貸与業","廃止","株式会社ジーエフジャパン","東京都港区西新橋二丁目22番2号","スギモトビル","03-3436-0681","28港み生機器第280号","2023/4/1"
"202304","2023/4/13","高度管理医療機器販売業・貸与業","廃止","株式会社ＡＩＬＡＮＡ　東京営業所","東京都港区東麻布一丁目24番4号","FREG東麻布2階","03-5545-5481","28港み生機器第283号","2023/4/25"
"202305","2023/5/24","高度管理医療機器販売業・貸与業","廃止","西尾レントオール株式会社　通信測機技術部　通信測機東京センター","東京都港区海岸三丁目21番32号","安田芝浦7号ビル","03-3769-8240","29港み生機器第67号","2023/5/24"
"202305","2023/5/1","高度管理医療機器販売業","廃止","三田調剤薬局","東京都港区芝五丁目16番1号","千代ビル1階","03-3451-0454","3港み生機器第27号","2023/4/30"
"202305","2023/5/17","高度管理医療機器販売業","廃止","ＩＢＡ　Ｊａｐａｎ株式会社","東京都港区高輪三丁目25番29号",,"03-4520-8999","31港み生機器第156号","2023/3/31"
"202305","2023/5/26","高度管理医療機器販売業・貸与業","廃止","株式会社メディクルード","東京都港区六本木六丁目6番9号","ピラミデ","03-5770-5277","29港み生機器第26号","2023/5/26"
"202305","2023/5/1","高度管理医療機器販売業・貸与業","休止","スギドラッグ　六本木店","東京都港区六本木七丁目14番10号","誠志堂ビル","03-5843-1361","31港み生機器第140号",
"202306","2023/6/14","高度管理医療機器販売業・貸与業","廃止","メディゲートデジタルヘルス株式会社","東京都港区麻布台一丁目11番4号","3階","03-6910-3818","3港み生機器第172号","2023/5/31"
"202306","2023/6/30","高度管理医療機器販売業・貸与業","廃止","ミント薬局","東京都港区浜松町二丁目13番9号","G1ビル1F","03-6459-0982","2港み生機器第22号","2023/6/14"
"202306","2023/6/14","高度管理医療機器販売業","廃止","ＮＥＣネクサソリューションズ株式会社　本社","東京都港区三田一丁目4番28号","三田国際ビル","03-5730-5101","29港み生機器第58号","2023/5/31"
"202307","2023/7/21","高度管理医療機器販売業・貸与業","廃止","日通リース＆ファイナンス株式会社","東京都港区海岸一丁目14番22号",,"03-6734-8625","2港み生機器第159号","2023/6/30"
"202307","2023/7/27","高度管理医療機器販売業","廃止","ロート製薬株式会社ロート東京ビル","東京都港区芝一丁目7番5号","ロート東京ビル",,"31港み生機器第197号","2023/7/24"
"202307","2023/7/19","高度管理医療機器販売業・貸与業","廃止","コニカミノルタビジネスソリューションズ株式会社","東京都港区芝浦一丁目1番1号","浜松町ビルディング","03-6311-9091","第4501031400022号","2016/3/31"
"202307","2023/7/20","高度管理医療機器販売業・貸与業","廃止","アイテック阪急阪神株式会社東京支社","東京都港区芝大門二丁目5番5号","住友芝大門ビル","03-6740-6001","31港み生機器第65号","2023/7/15"
"202307","2023/7/18","高度管理医療機器販売業・貸与業","廃止","ヒルロムジャパン株式会社","東京都港区虎ノ門五丁目1番5号","メトロシティ神谷町","03-4520-1700","2港み生機器第125号","2023/6/30"
"202307","2023/7/18","高度管理医療機器販売業・貸与業","廃止","ウェルチ・アレン・ジャパン株式会社","東京都港区虎ノ門五丁目1番5号","メトロシティ神谷町","03-4520-1700","2港み生機器第124号","2023/6/30"
"202307","2023/7/19","高度管理医療機器販売業・貸与業","廃止","ＤＥＳＴＩＮＹ　ＩＮＴＥＲＮＡＴＩＯＮＡＬ　株式会社","東京都港区南青山三丁目4番8号","KDXレジデンス","03-5770-3121","29港み生機器第227号","2023/7/14"
"202308","2023/8/30","高度管理医療機器販売業・貸与業","廃止","株式会社パリミキ","東京都港区海岸一丁目2番3号","汐留芝離宮ビルディング10階","03-6432-0728","4港み生機器第206号","2023/8/28"
