"年月[西暦]","施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"202110","ＭＥＧＵＲＵ鍼灸院","東京都港区北青山二丁目9番13号","斎藤ビル201","03-6271-5800","2021/10/8","はり、きゅう","35.671249","139.716529"
"202110","えいとスポーツ鍼灸院","東京都港区芝五丁目13番13号","つるやビル6階",,"2021/9/28","きゅう、はり","35.648956","139.744905"
"202110","ＬＥＧＡＣＹ　白金","東京都港区白金一丁目25番32号","J&Kビル302",,"2021/10/2","はり、きゅう","35.644630","139.731583"
"202110","白金はり灸マッサージ室","東京都港区白金三丁目9番16号","マロン白金3A",,"2021/10/4","あん摩、はり、きゅう","35.645888","139.730815"
"202110","博厚堂はり治療院","東京都港区新橋四丁目7番4号","STトミタ1F","03-3459-8341","2021/10/22","あん摩、はり、きゅう","35.664623","139.755402"
"202110","東洋医学鍼灸久志田治療所","東京都港区南青山五丁目10番5号","九曜ビル青山ハイツ703号","03-3797-7522","2021/10/1","はり、きゅう","35.662487","139.711362"
"202110","鍼灸活法石井治療院","東京都港区南麻布五丁目10番24号","第二佐野ビル601",,"2021/10/11","はり、きゅう","35.652589","139.722395"
"202111","ＡＲＣ　Ｌａｂｏ鍼灸院","東京都港区赤坂五丁目4番8号","クレールタイヨービル601","03-6441-2587","2021/11/1","はり、きゅう、あん摩","35.671918","139.735774"
"202111","株式会社東急エージェンシーヘルスキーパー室","東京都港区西新橋一丁目1番1号","日比谷フォートタワー17階","03-6811-2412","2021/10/25","あん摩","35.669827","139.753372"
"202112","インフォコム株式会社　健康支援ルーム","東京都港区赤坂九丁目7番2号","東京ミッドタウンイースト10F健康支援ルーム","03-6866-3190","2021/11/15","あん摩","35.665980","139.730875"
"202112","はぐくみ堂鍼灸院","東京都港区麻布十番三丁目7番5号","Decimo麻布402",,"2021/12/1","はり、きゅう","35.653524","139.735006"
"202201","あん摩マッサージ・はり・きゅうびぃなす治療院","東京都港区赤坂九丁目1番7号","赤坂レジデンシャルホテル412","03-6434-0207","2022/1/14","あん摩、はり、きゅう","35.668055","139.732763"
"202201","しんきゅう院ａｑｕ美","東京都港区西麻布四丁目15番3号","グレンパーク西麻布203","03-6820-3552","2022/1/11","はり、きゅう","35.658929","139.721257"
"202201","ｎｏｂｏｒｉ鍼灸院","東京都港区東麻布一丁目29番17号","グランクリュー麻布502",,"2022/1/7","はり、きゅう","35.655353","139.742181"
"202202","からだメンテナンス研究所","東京都港区赤坂九丁目6番27号","カーム乃木坂903号室","03-5726-9895","2021/11/1","あん摩","35.666388","139.728545"
"202202","ＩＫＥＨＡＴＡはりきゅう治療院","東京都港区麻布十番一丁目2番9号","901号室(新一の橋ハイツ)",,"2022/1/28","はり、きゅう","35.656632","139.736486"
"202202","麻布ネップス鍼灸マッサージ院","東京都港区麻布十番二丁目11番3号","ドエル麻布101","03-6275-1630","2022/2/1","あん摩、はり、きゅう","35.654157","139.734527"
"202202","サトリエ治療室","東京都港区北青山三丁目12番7号","カプリース青山701","03-6427-5447","2021/12/26","あん摩、はり、きゅう","35.663371","139.710305"
"202202","日本テキサス・インスツルメンツ合同会社　マッサージルーム","東京都港区港南一丁目2番70号","品川シーズンテラス31F","03-4331-2000","2022/2/14","あん摩","35.632491","139.743066"
"202202","鍼灸院Ｓｕｇａｒ","東京都港区白金台五丁目5番8号","ISOLETTA4F","03-6277-3218","2022/2/1","はり、きゅう","35.640429","139.722275"
"202202","お台場ウェルケア鍼灸院","東京都港区台場一丁目6番1号","デックス東京ビーチ1F-01a","03-6380-7738","2022/2/12","はり、きゅう","35.629058","139.775997"
"202202","＃ＳＦＡ　青山","東京都港区南青山二丁目7番8号","クリアスタイル南青山2階","03-6447-4345","2022/2/23","はり","35.670314","139.723063"
"202203","安達治療室","東京都港区赤坂五丁目2番10号","2812",,"2022/1/1","あん摩、はり、きゅう","35.672051","139.733249"
"202203","Ｒｅ－ｐｌｕｓ","東京都港区赤坂六丁目4番18号","プリンストン赤坂902",,"2022/3/2","あん摩、はり、きゅう","35.670473","139.734607"
"202203","スミダ治療室","東京都港区赤坂六丁目16番15号","木村荘201",,"2021/6/1","はり、きゅう","35.668812","139.732970"
"202203","友野治療院","東京都港区芝五丁目9番5号",,"03-3451-2327","2022/3/15","あん摩、はり、きゅう","35.64927","139.746646"
"202203","白金高輪はりきゅう院","東京都港区高輪一丁目1番5号","パルムハウス魚籃坂103号室","03-6455-6462","2022/3/16","はり、きゅう","35.643519","139.736379"
"202203","アキュサリュート高輪","東京都港区高輪一丁目13番11号","帰山荘102","03-5422-9255","2022/3/10","あん摩、はり、きゅう","35.641480","139.735924"

"施術所（あはき）開設一覧(令和4年3月31日現在)","Ver202203",,,,,,,
