建築物の規模(延べ面積)等,所管行政庁,お問合せ先
特別区で１万m2超及び島しょ,東京都都市整備局市街地建築部建築指導課設備担当（※）,03-5321-1111（代表）
特別区で１万m2以下,千代田区環境まちづくり部建築指導課,03-3264-2111（代表）
特別区で１万m2以下,中央区都市整備部建築課,03-3543-0211（代表）
特別区で１万m2以下,港区街づくり支援部建築課,03-3578-2111（代表）
特別区で１万m2以下,新宿区都市計画部建築指導課,03-3209-1111（代表）
特別区で１万m2以下,文京区都市計画部建築指導課,03-3812-7111（代表）
特別区で１万m2以下,台東区都市づくり部建築課,03-5246-1111（代表）
特別区で１万m2以下,北区まちづくり部建築課,03-3908-1111（代表）
特別区で１万m2以下,荒川区防災都市づくり部建築指導課,03-3802-3111（代表）
特別区で１万m2以下,品川区都市環境部建築課,03-3777-1111（代表）
特別区で１万m2以下,目黒区都市整備部建築課,03-3715-1111（代表）
特別区で１万m2以下,大田区まちづくり推進部建築審査課,03-5744-1111（代表）
特別区で１万m2以下,世田谷区都市整備政策部建築審査課,03-5432-1111（代表）
特別区で１万m2以下,渋谷区都市整備部建築課,03-3463-1211（代表）
特別区で１万m2以下,中野区都市基盤部建築分野建築安全・安心担当,03-3389-1111（代表）
特別区で１万m2以下,杉並区都市整備部建築課,03-3312-2111（代表）
特別区で１万m2以下,豊島区都市整備部建築課,03-3981-1111（代表）
特別区で１万m2以下,板橋区都市整備部建築指導課,03-3964-1111（代表）
特別区で１万m2以下,練馬区都市整備部建築審査課,03-3993-1111（代表）
特別区で１万m2以下,墨田区都市計画部建築指導課,03-5608-1111（代表）
特別区で１万m2以下,江東区都市整備部建築課,03-3647-9111（代表）
特別区で１万m2以下,足立区都市建設部建築審査課,03-3880-5111（代表）
特別区で１万m2以下,葛飾区都市整備部建築課,03-3695-1111（代表）
特別区で１万m2以下,江戸川区都市開発部建築指導課,03-3652-1151（代表）
