建築物の規模(延べ面積)等,相談窓口,お問合せ先
一万m2超及び島しょ,東京都都市整備局市街地建築部建築指導課,03-5388-3372～3373
一万m2以下(島しょ除く。),千代田区環境まちづくり部建築指導課,03-3264-2111(区代表)
一万m2以下(島しょ除く。),中央区都市整備部建築課,03-3543-0211(区代表)
一万m2以下(島しょ除く。),港区街づくり支援部建築課,03-3578-2111(区代表)
一万m2以下(島しょ除く。),新宿区都市計画部建築指導課,03-3209-1111(区代表)
一万m2以下(島しょ除く。),文京区都市計画部建築指導課,03-3812-7111(区代表)
一万m2以下(島しょ除く。),台東区都市づくり部建築課,03-5246-1111(区代表)
一万m2以下(島しょ除く。),北区まちづくり部建築課,03-3908-1111(区代表)
一万m2以下(島しょ除く。),荒川区防災都市づくり部建築指導課,03-3802-3111(区代表)
一万m2以下(島しょ除く。),品川区都市環境部建築課,03-3777-1111(区代表)
一万m2以下(島しょ除く。),目黒区都市整備部建築課,03-3715-1111(区代表)
一万m2以下(島しょ除く。),大田区まちづくり推進部建築審査課,03-5744-1111(区代表)
一万m2以下(島しょ除く。),世田谷区都市整備政策部建築審査課,03-5432-1111(区代表)
一万m2以下(島しょ除く。),渋谷区都市整備部建築課,03-3463-1211(区代表)
一万m2以下(島しょ除く。),中野区都市基盤部建築分野,03-3389-1111(区代表)
一万m2以下(島しょ除く。),杉並区都市整備部建築課,03-3312-2111(区代表)
一万m2以下(島しょ除く。),豊島区都市整備部建築課,03-3981-1111(区代表)
一万m2以下(島しょ除く。),板橋区都市整備部建築指導課,03-3964-1111(区代表)
一万m2以下(島しょ除く。),練馬区都市整備部建築課,03-3993-1111(区代表)
一万m2以下(島しょ除く。),墨田区都市計画部建築指導課,03-5608-1111(区代表)
一万m2以下(島しょ除く。),江東区都市整備部建築課,03-3647-9111(区代表)
一万m2以下(島しょ除く。),足立区都市建設部建築室建築審査課,03-3880-5111(区代表)
一万m2以下(島しょ除く。),葛飾区都市整備部建築課,03-3695-1111(区代表)
一万m2以下(島しょ除く。),江戸川区都市開発部建築指導課,03-3652-1151(区代表)
