NO,建物名,所在地,緯度,経度,座標系,建築年,設計者
1,大倉喜八郎　進一層館,国分寺市南町1-7,35.69931,139.490387,JGD2011,昭和43年,鬼頭梓建築設計事務所
2,大学セミナーハウス本館,八王子市柚木1987-1,35.630669,139.365365,JGD2011,昭和40年,吉阪隆正／U研究室
3,普連土学園中学校舎,港区三田4-14-16,35.646099,139.741928,JGD2011,昭和43年,大江宏
4,紀伊國屋ビルディング,新宿区新宿3-17,35.692101,139.703125,JGD2011,昭和39年,前川國男
5,武蔵野美術大学４号館,小平市小川町1-736,35.728161,139.449005,JGD2011,昭和39年,芦原義信建築設計研究所
6,ルーテル学院大学／（旧日本ルーテル神学大学）／（チャペル・本館・図書館・寮棟）,三鷹市大沢3-10-20,35.686474,139.527481,JGD2011,昭和45年,村野・森建築事務所
7,カトリック目黒教会聖アンセルモ聖堂,品川区上大崎4-6-22,35.630482,139.716003,JGD2011,昭和31年,アントニン・レーモンド
8,根津二丁目の蔵（釜竹）,台東区根津2-14-18,35.718048,139.767059,JGD2011,昭和43年,（不明）
9,寿々喜屋,青梅市本町153番地,35.789719,139.259766,JGD2011,明治中期,（不明）
10,永濱邸,青梅市西分町1丁目110番地,35.789029,139.264278,JGD2011,昭和,（不明）
11,昭和レトロ商品博物館,青梅市住江町65番地,35.788376,139.260512,JGD2011,明治～大正期,（不明）
