課,担当,連絡先,主な業務
管理課,管理担当,03-3534-3402,庶務一般、庁舎等の管理に関すること
管理課,経理担当,03-3534-3404,会計、契約に関すること
管理課,調査清算担当,03-3534-3405,審議会、事業地の管理、清算金の徴収に関すること
補償課,補償担当,03-3534-3407,土地区画整理事業区域内の建築物等の補償に関すること
補償課,移転担当,03-3534-3413,土地区画整理事業区域内の建築物の移転、仮設住宅に関すること
事業課,計画担当,03-3534-3419,事業計画、建築行為等の制限に関すること
事業課,瑞江駅西部換地担当,03-3534-3420,瑞江駅西部地区の仮換地指定、換地処分に関すること
事業課,臨海部事業担当,03-3534-3421,豊洲地区・有明北地区の事業計画、建築行為の制限に関すること
事業課,臨海部換地担当,03-3534-3424,豊洲地区の仮換地指定、換地処分に関すること
事業課,臨海部換地担当,03-3534-3423,有明北地区の仮換地指定、換地処分に関すること
事業課,六町換地担当,03-3534-3427,六町地区の仮換地指定、換地処分に関すること
事業課,まちづくり推進担当（補助第29号線戸越公園駅周辺地区）,03-3534-3430,補助第29号線戸越公園駅周辺地区における道路事業及び沿道のまちづくりに関すること
事業課,まちづくり用地担当（補助第29号線戸越公園駅周辺地区）,03-3534-3433,補助第29号線戸越公園駅周辺地区における道路事業の用地取得、損失補償などに関すること
事業課,まちづくり推進担当（補助第46号線目黒本町地区、原町洗足地区）,03-3534-3429,補助第46号線目黒本町地区、原町洗足地区における道路事業及び沿道のまちづくりに関すること
事業課,まちづくり用地担当（補助第46号線目黒本町地区）,03-3534-3432,補助第46号線目黒本町地区における道路事業の用地取得、損失補償などに関すること
事業課,まちづくり用地担当（補助第46号線原町洗足地区）,03-3534-3431,補助第46号線原町洗足地区における道路事業の用地取得、損失補償などに関すること
事業課,まちづくり推進担当（補助第120号線鐘ヶ淵地区）,03-3534-3428,補助第120号線鐘ヶ淵地区における道路事業及び沿道のまちづくりに関すること
事業課,まちづくり用地担当（補助第120号線鐘ヶ淵地区）,03-3534-3438,補助第120号線鐘ヶ淵地区における道路事業の用地取得、損失補償などに関すること
事業課,環四高輪地区担当,03-3534-3426,環状第4号線（高輪区間）における道路事業に関すること
事業課,環四高輪地区用地補償担当,03-3534-3425,環状第4号線（高輪区間）における道路事業の用地取得、損失補償などに関すること
工事課,工務担当,03-3534-3442,土木工事の連絡調整、占用・自費工事申請等に関すること
工事課,輸送拠点整備担当,03-3534-3593,輸送拠点整備工事に係る調査・設計、施工に関すること
工事課,設計担当,03-3534-3443／03-3534-3445,土木工事の調査・設計に関すること
工事課,工事担当,03-3534-3447,土木工事の実施、設計変更に関すること
工事課,瑞江駅西部地区事務所,03-3676-6035,瑞江駅西部地区・篠崎駅東部地区の工事監督、申請窓口、事業施設の維持管理に関すること
工事課,臨海部地区事務所（豊洲）,03-3532-1477,晴海地区・豊洲地区・晴海通り（築地・勝どき）の工事監督、申請窓口、事業施設の維持管理に関すること
工事課,臨海部地区事務所（有明北）,03-3528-4881,有明北地区の工事監督、申請窓口、事業施設の維持管理に関すること
選手村基盤整備課,事業計画担当,03-3534-3453,市街地再開発事業の事業計画・権利変換計画に関すること
選手村基盤整備課,工務担当,03-3534-3454,基盤整備工事に係る協議、調整に関すること
選手村基盤整備課,設計担当,03-3534-3457,基盤整備工事に係る調査・設計に関すること
選手村基盤整備課,工事担当,03-3534-3449,基盤整備工事に係る施工に関すること
六町地区整備事務所,工務担当,03-5851-2032,六町地区の権利申告、建築行為の制限、仮換地証明、自費工事申請、工事に伴う連絡調整・移設補償に関すること
六町地区整備事務所,設計担当,03-5851-2033,六町地区の土地区画整理に伴う各種土木工事に係る調査・設計に関すること
六町地区整備事務所,工事担当,03-5851-2034,六町地区の土地区画整理に伴う各種土木工事に係る施工に関すること
六町地区整備事務所,渉外担当,03-5851-2035,六町地区・花畑北部地区の土壌汚染・地中障害物・家屋損賠に係る渉外調整に関すること
