"実施機関","業務登録票[件]","目的外利用記録票[件]","外部提供記録票[件]"
"区長部局 各総合支所","372","57","140"
"区長部局 産業・地域振興支援部","27","42","51"
"区長部局 保健福祉支援部","49","189","126"
"区長部局 みなと保健所","21","14","105"
"区長部局 子ども家庭支援部","10","9","10"
"区長部局 街づくり支援部","53","40","46"
"区長部局 環境リサイクル支援部","6","2","5"
"区長部局 企画経営部","15","3","4"
"区長部局 防災危機管理室","12","0","3"
"区長部局 総務部","40","22","73"
"区長部局 会計室","2","0","2"
"選挙管理委員会","5","3","13"
"監査委員","3","2","2"
"教育委員会 教育委員会事務局","52","80","94"
"教育委員会 中学校","50","16","33"
"教育委員会 小学校","90","19","83"
"教育委員会 幼稚園","60","7","23"

"平成30年度港区行政資料集　個人情報取扱業務登録・目的外利用・外部提供の状況","Ver201803",,
