市町村,計画相談・地域相談について／特定相談支援事業サ－ビス等利用計画／事業者数,計画相談・地域相談について／特定相談支援事業サ－ビス等利用計画／件数,計画相談・地域相談について／一般相談支援事業／地域移行支援／事業者数,計画相談・地域相談について／一般相談支援事業／地域移行支援／実人員,計画相談・地域相談について／一般相談支援事業／地域定着支援／事業者数,計画相談・地域相談について／一般相談支援事業／地域定着支援／実人員,地域生活支援拠点等の整備について（○：あり△：予定－：なし）／取組状況,地域生活支援拠点等の整備について（○：あり△：予定－：なし）／予定年度(予定の場合)
青梅市,13,,3,,2,,,
福生市,5,120,2,-,2,-,,
羽村市,2,58,-,1,-,-,,
瑞穂町,1,251,1,-,1,-,,
奥多摩町,1,-,-,-,-,-,,
あきる野市,8,123,3,-,3,-,,
日の出町,2,-,-,-,-,-,,
檜原村,1,2,1,-,1,-,,
八王子市,16,1079,9,2,9,1,○,
町田市,10,483,3,3,3,2,,
日野市,3,-,2,-,2,-,,
多摩市,7,244,2,2,2,-,,
稲城市,3,58,-,,-,-,,
調布市,5,367,3,4,3,1,△,平成29年度
狛江市,3,291,2,3,2,10,△,調整中
府中市,15,681,4,-,4,6,,
小金井市,7,158,1,-,2,-,,
武蔵野市,5,280,2,4,1,1,,
三鷹市,7,416,3,4,3,1,,
立川市,10,407,3,3,3,-,△,検討中
昭島市,9,235,2,-,2,-,,
国立市,6,99,2,-,2,-,,
国分寺市,5,180,3,1,3,2,,
東大和市,3,148,3,1,3,-,,
武蔵村山市,3,172,1,-,1,1,,
小平市,12,204,9,2,7,4,△,検討中
西東京市,9,199,4,2,3,-,△,検討中
東村山市,8,1377,2,-,2,-,,
清瀬市,8,61,2,1,2,-,,
東久留米市,8,194,2,-,2,-,,
