圏域名,保健所,市町村,福祉ホーム／箇所数,福祉ホーム／定員,グループホーム／箇所数,グループホーム／定員
多摩地域／西多摩,西多摩,青梅市,-,-,3,18
多摩地域／西多摩,西多摩,福生市,-,-,1,6
多摩地域／西多摩,西多摩,羽村市,-,-,2,14
多摩地域／西多摩,西多摩,瑞穂町,-,-,1,6
多摩地域／西多摩,西多摩,奥多摩町,-,-,-,-
多摩地域／西多摩,西多摩,あきる野市,-,-,1,6
多摩地域／西多摩,西多摩,日の出町,-,-,1,6
多摩地域／西多摩,西多摩,檜原村,-,-,-,-
多摩地域／南多摩,八王子市,八王子市,-,-,46,285
多摩地域／南多摩,町田市,町田市,-,-,12,63
多摩地域／南多摩,南多摩,日野市,-,-,4,20
多摩地域／南多摩,南多摩,多摩市,-,-,2,13
多摩地域／南多摩,南多摩,稲城市,-,-,1,7
多摩地域／北多摩南部,多府摩中,調布市,-,-,12,76
多摩地域／北多摩南部,多府摩中,狛江市,-,-,3,15
多摩地域／北多摩南部,多府摩中,府中市,-,-,6,33
多摩地域／北多摩南部,多府摩中,小金井市,-,-,5,23
多摩地域／北多摩南部,多府摩中,武蔵野市,-,-,1,7
多摩地域／北多摩南部,多府摩中,三鷹市,-,-,18,116
多摩地域／北多摩西部,多立摩川,立川市,-,-,4,24
多摩地域／北多摩西部,多立摩川,昭島市,-,-,2,12
多摩地域／北多摩西部,多立摩川,国立市,-,-,2,10
多摩地域／北多摩西部,多立摩川,国分寺市,-,-,4,26
多摩地域／北多摩西部,多立摩川,東大和市,-,-,2,12
多摩地域／北多摩西部,多立摩川,武蔵村山市,-,-,4,19
多摩地域／北多摩北部,多小摩平,小平市,-,-,2,10
多摩地域／北多摩北部,多小摩平,西東京市,-,-,15,97
多摩地域／北多摩北部,多小摩平,東村山市,-,-,3,18
多摩地域／北多摩北部,多小摩平,清瀬市,-,-,4,22
多摩地域／北多摩北部,多小摩平,東久留米市,-,-,3,19
