圏域名,保健所,平成26年度／通報,平成26年度／診察,平成26年度／措置入院,平成27年度／通報,平成27年度／診察,平成27年度／措置入院
特別区／区中央部,千代田,50,30,29,72,49,45
特別区／,中央区,31,15,14,42,24,22
特別区／,港,80,43,41,127,62,57
特別区／,文京,23,14,14,25,13,13
特別区／,台東,66,31,30,69,40,38
特別区／区南部,品川区,73,50,45,64,39,37
特別区／,大田区,161,113,108,140,85,76
特別区／区西南部,目黒区,45,31,26,42,24,23
特別区／,世田谷,151,95,89,210,131,120
特別区／,渋谷区,71,51,47,68,46,43
特別区／区西部,新宿区,163,112,104,217,139,118
特別区／,中野区,60,38,30,88,52,43
特別区／,杉並,84,61,56,81,47,42
特別区／区西北部,池袋,87,53,49,116,59,53
特別区／,北区,58,37,36,72,43,40
特別区／,板橋区,114,82,80,119,55,50
特別区／,練馬区,114,76,72,119,62,55
特別区／区東北部,荒川区,44,27,27,53,31,26
特別区／,足立,146,79,72,139,77,71
特別区／,葛飾区,88,52,49,78,44,40
特別区／区東部,墨田区,47,26,24,66,32,30
特別区／,江東区,83,46,44,96,48,44
特別区／,江戸川,90,46,44,120,55,53
多摩地域／西多摩,西多摩,61,29,28,64,34,33
多摩地域／南多摩,八王子市,116,73,62,109,57,53
多摩地域／,町田市,47,35,34,71,43,39
多摩地域／,南多摩,64,30,28,96,54,49
多摩地域／北多摩南部,多摩府中,189,130,120,258,135,122
多摩地域／北多摩西部,多摩立川,98,57,52,84,52,47
多摩地域／北多摩北部,多摩小平,66,35,32,118,62,59
特別区計,,1929,1208,1130,2223,1257,1139
多摩地域計,,641,389,356,800,437,402
島しょ計,,5,5,5,4,2,2
東京都合計,,2575,1602,1491,3027,1696,1543
