圏域名,保健所,病院数,病床数,人口万対病床数
特別区／区中央部,千代田区,1,27,4.9
特別区／区中央部,中央区,-,-,-
特別区／区中央部,港区,1,49,2.2
特別区／区中央部,文京区,4,137,6.3
特別区／区中央部,台東区,1,85,4.6
特別区／区南部,品川区,1,50,1.3
特別区／区南部,大田区,3,128,1.8
特別区／区西南部,目黒区,1,50,1.8
特別区／区西南部,世田谷区,4,1204,13.3
特別区／区西南部,渋谷区,2,53,2.4
特別区／区西部,新宿区,5,315,9.3
特別区／区西部,中野区,-,-,-
特別区／区西部,杉並区,-,-,-
特別区／区西北部,豊島区,-,-,-
特別区／区西北部,北区,2,203,5.9
特別区／区西北部,板橋区,8,1976,36.0
特別区／区西北部,練馬区,3,1081,14.9
特別区／区東北部,荒川区,-,-,-
特別区／区東北部,足立区,5,1237,17.8
特別区／区東北部,葛飾区,2,217,4.9
特別区／区東部,墨田区,1,36,1.4
特別区／区東部,江東区,1,129,2.6
特別区／区東部,江戸川区,-,-,-
