圏域名,保健所,市町村,病院外来数,診療所数,計,人口万対外来箇所数
多摩地域／西多摩,西多摩,青梅市,10,3,13,1
多摩地域／西多摩,西多摩,福生市,2,3,5,0.9
多摩地域／西多摩,西多摩,羽村市,-,2,2,0.4
多摩地域／西多摩,西多摩,瑞穂町,-,-,,-
多摩地域／西多摩,西多摩,奥多摩町,-,1,1,1.9
多摩地域／西多摩,西多摩,あきる野市,2,2,4,0.5
多摩地域／西多摩,西多摩,日の出町,1,-,1,0.6
多摩地域／西多摩,西多摩,檜原村,-,-,,-
多摩地域／南多摩,八王子市,八王子市,19,19,38,0.7
多摩地域／南多摩,町田市,町田市,8,20,28,0.6
多摩地域／南多摩,南多摩,日野市,2,5,7,0.4
多摩地域／南多摩,南多摩,多摩市,4,11,15,1
多摩地域／南多摩,南多摩,稲城市,1,-,1,0.1
多摩地域／北多摩南部,多摩府中,調布市,3,12,15,0.6
多摩地域／北多摩南部,多摩府中,狛江市,1,1,2,0.2
多摩地域／北多摩南部,多摩府中,府中市,4,9,13,0.5
多摩地域／北多摩南部,多摩府中,小金井市,3,4,7,0.6
多摩地域／北多摩南部,多摩府中,武蔵野市,1,22,23,1.6
多摩地域／北多摩南部,多摩府中,三鷹市,3,9,12,0.6
多摩地域／北多摩西部,多摩立川,立川市,3,9,12,0.7
多摩地域／北多摩西部,多摩立川,昭島市,-,2,2,0.2
多摩地域／北多摩西部,多摩立川,国立市,-,5,5,0.7
多摩地域／北多摩西部,多摩立川,国分寺市,-,10,10,0.8
多摩地域／北多摩西部,多摩立川,東大和市,-,3,3,0.4
多摩地域／北多摩西部,多摩立川,武蔵村山市,-,-,,-
多摩地域／北多摩北部,多摩小平,小平市,5,8,13,0.7
多摩地域／北多摩北部,多摩小平,西東京市,1,5,6,0.3
多摩地域／北多摩北部,多摩小平,東村山市,4,5,9,0.6
多摩地域／北多摩北部,多摩小平,清瀬市,2,6,8,1.1
多摩地域／北多摩北部,多摩小平,東久留米市,1,-,1,0.1
