圏域名,保健所,ショートケア／大規模,ショートケア／小規模,デイケア／大規模,デイケア／小規模,ナイトケア,デイナイトケア,合計／施設延べ数,合計／医療機関実数
特別区／区中央部,千代田区,1,5,2,5,1,2,16,7
特別区／区中央部,中央区,-,2,-,2,-,-,4,2
特別区／区中央部,港区,3,2,4,1,3,3,16,5
特別区／区中央部,文京区,2,3,3,1,-,1,10,6
特別区／区中央部,台東区,-,2,1,2,-,1,6,3
特別区／区南部,品川区,1,2,2,1,-,-,6,4
特別区／区南部,大田区,2,4,3,5,2,3,19,7
特別区／区西南部,目黒区,1,1,1,1,-,-,4,2
特別区／区西南部,世田谷区,4,5,4,5,2,2,22,9
特別区／区西南部,渋谷区,1,5,1,5,2,2,16,8
特別区／区西部,新宿区,4,2,4,2,2,1,15,7
特別区／区西部,中野区,-,1,-,-,-,-,1,1
特別区／区西部,杉並区,-,2,-,1,-,-,3,2
特別区／区西北部,豊島区,3,4,4,4,1,4,20,9
特別区／区西北部,北区,1,1,1,1,1,2,7,3
特別区／区西北部,板橋区,5,4,5,4,1,1,20,9
特別区／区西北部,練馬区,2,1,4,1,4,4,16,5
特別区／区東北部,荒川区,1,-,1,-,1,1,4,1
特別区／区東北部,足立区,3,3,5,3,3,6,23,9
特別区／区東北部,葛飾区,-,1,-,2,-,-,3,3
特別区／区東部,墨田区,1,4,1,4,2,2,14,5
特別区／区東部,江東区,-,1,1,2,-,1,5,3
特別区／区東部,江戸川区,-,-,1,-,-,1,2,1
島しょ／島しょ,大島町,-,-,-,1,-,-,1,1
島しょ／島しょ,利島村,-,-,-,-,-,-,-,-
島しょ／島しょ,新島村,-,-,-,-,-,-,-,-
島しょ／島しょ,神津島村,-,-,-,-,-,-,-,-
島しょ／島しょ,三宅村,-,-,-,-,-,-,-,-
島しょ／島しょ,御蔵島村,-,-,-,-,-,-,-,-
島しょ／島しょ,八丈町,-,-,-,-,-,-,-,-
島しょ／島しょ,青ヶ島村,-,-,-,-,-,-,-,-
島しょ／島しょ,小笠原村,-,-,-,-,-,-,-,-
