市町村,現行の障害者計画策定委員への障害者の参加等／障害者計画策定委員総数（人）,現行の障害者計画策定委員への障害者の参加等／障害者計画策定委員への障害者の参加の有無,現行の障害者計画策定委員への障害者の参加等／委員の障害種別と人数,現行の障害者計画策定委員への障害者の参加等／精神障害者(当事者)の参加／障害者計画以外の検討会等の委員への精神障害者の参加,現行の障害者計画策定委員への障害者の参加等／精神障害者(当事者)の参加／就任している場合、その検討会等の名称
青梅市,13,○,身体障害者1人／知的障害者の家族2人／精神障害者の家族枠2人,○(1名),青梅市障害者地域自立支援協議会
福生市,22,○,身体障害者1人,,
羽村市,15,○,身体障害者1人,－,
瑞穂町,,,,,
奥多摩町,20,○,身体障害者1人,－,
あきる野市,15,○,身体障害者1人,－,
日の出町,－,予定なし,,－,
檜原村,12,－,,－,
八王子市,21,○,身体障害者3人／知的障害者1人／精神障害者1人／難病1人,○,八王子市障害福祉計画(第4期)策定委員会(兼任)／八王子市障害者地域自立支援協議会
町田市,11,○,精神障がい者1名／身体障がい者3名／知的障がい者1名,－,
日野市,15,○,身体障害者1人,－,
多摩市,19,○,身体障がい者5人,－,
稲城市,4,○,身体障害者1人,－,
調布市,23,○,身体障害者5人／知的障害者1人／精神障害者1人,○,障害者地域自立支援協議会
狛江市,7,－,－,○(1名),狛江市地域自立支援協議会
府中市,18,○,身体障害者2人,－,－
小金井市,13,○,身体障害者1人,－,
武蔵野市,14,○,身体障害者1人,－,
三鷹市,34,○,身体障害者2人／知的障害者1人／精神障害者1人／難病患者1人,○,三鷹市障がい者地域自立支援協議会
立川市,16,○,身体障害者4人／知的障害者1人,－,
昭島市,12,○,身体障害者1人,－,－
国立市,10,3人,身体障害者1名／知的障害者1名／精神障害者1名,○,自立支援協議会
国分寺市,6,4人,未定,,
東大和市,－,－,－,－,
武蔵村山市,14,－,,,
小平市,19,○,精神障害者1人／身体障害者3人／知的障害者1人,,
西東京市,13,－,－,－,
東村山市,17,○,身体障害者3人,－,
清瀬市,20,○,身体障害者1人,未定,
東久留米市,13,－,,－,
