圏域,市町村,人口(H27.10.1),家庭訪問実件数／保健部門（件）,家庭訪問実件数／福祉部門他（件）,家庭訪問延べ件数／保健部門（件）,家庭訪問延べ件数／福祉部門他（件）,面接相談延べ件数／保健部門（件）,面接相談延べ件数／福祉部門他（件）,電話相談延べ件数／保健部門（件）,電話相談延べ件数／福祉部門他（件）,関連機関連絡延べ件数／保健部門（件）,関連機関連絡延べ件数／福祉部門他（件）
西多摩,青梅市,136247,-,59,-,104,-,546,9,806,7,2064
西多摩,福生市,58216,2,49,4,138,1,364,49,1149,8,3546
西多摩,羽村市,55764,19,-,34,-,101,-,283,-,320,-
西多摩,瑞穂町,33095,4,16,4,75,11,75,29,170,30,486
西多摩,奥多摩町,5215,12,-,24,-,27,-,27,-,77,-
西多摩,あきる野市,80582,5,71,6,291,6,275,18,490,5,1336
西多摩,日の出町,17148,-,20,-,44,5,683,9,542,-,546
西多摩,檜原村,2211,17,-,67,-,89,-,86,-,181,-
南多摩,八王子市,579581,286,54,983,61,1349,225,3883,371,2471,292
南多摩,町田市,429317,736,153,934,167,1097,524,2648,1256,2633,508
南多摩,日野市,184975,81,-,203,-,121,-,585,-,398,-
南多摩,多摩市,147720,71,61,259,132,76,127,143,521,188,782
南多摩,稲城市,87719,15,27,21,41,30,86,95,218,169,379
北多摩南部,調布市,228443,64,182,145,372,80,393,622,1200,567,1899
北多摩南部,狛江市,81289,7,93,11,228,12,112,80,98,32,150
北多摩南部,府中市,261209,20,378,35,617,117,987,378,3524,167,4606
北多摩南部,小金井市,121352,63,24,175,26,57,17,280,24,219,40
北多摩南部,武蔵野市,143691,114,207,215,467,167,297,527,1082,810,1583
北多摩南部,三鷹市,189151,32,141,47,212,110,306,590,506,213,1113
北多摩西部,立川市,180670,42,277,71,424,35,376,186,1384,31,722
北多摩西部,昭島市,111481,36,447,57,993,97,651,412,958,209,2327
北多摩西部,国立市,75655,7,-,7,-,11,-,103,-,35,-
北多摩西部,国分寺市,122791,73,27,194,27,105,83,404,341,445,1041
北多摩西部,東大和市,85351,16,80,30,127,47,165,85,241,105,1994
北多摩西部,武蔵村山市,70509,10,46,20,84,27,186,24,333,8,207
北多摩北部,小平市,191258,44,104,70,179,185,568,384,692,380,1291
北多摩北部,西東京市,200075,23,151,60,254,44,255,379,555,333,918
北多摩北部,東村山市,151073,24,90,36,97,209,200,417,84,168,144
北多摩北部,清瀬市,74381,25,21,44,65,34,15,135,35,149,173
北多摩北部,東久留米市,116863,17,34,37,36,29,420,191,758,343,163
