区分,平成24年度,平成25年度,平成26年度,平成27年度,平成28年度
障害者医療費助成／更生医療給付（千円）,5417079,5054851,5475013,5583477,－
障害者医療費助成／措置患者医療費公費負担（千円）,1256074,1102925,1428707,1778087,1790958
障害者医療費助成／精神通院医療費助成（千円）,25774941,29954974,31700999,32369366,33585402
障害者医療費助成／小児精神患者医療費助成（千円）,58565,120108,79400,78508,70626
障害者医療費助成／支払事務委託（千円）,428576,436533,456302,507575,561228
障害者医療費助成／小計（千円）,32935235,36669391,39140421,40317013,36008214
精神科救急医療／救急医療体制（千円）,826258,828496,867617,854904,862801
精神科救急医療／二次救急医療体制（千円）,307653,323408,331519,348361,361090
精神科救急医療／初期救急医療体制（千円）,61288,61317,63158,65029,64752
精神科救急医療／精神科救急医療情報センター（千円）,56415,56461,58073,58311,58121
精神科救急医療／小計（千円）,1251614,1269682,1320367,1326605,1346764
専門医療の確保（千円）,108420,108420,75894,75894,75894
精神障害者の退院促進（千円）,80107,72737,70921,339847,335989
相談支援体制等の充実／発達障害支援（千円）,8072,7900,15192,7997,7945
相談支援体制等の充実／高次脳機能障害支援（千円）,74450,84006,98475,110065,108091
相談支援体制等の充実／保健所精神保健福祉相談事業等（千円）,260183,271743,277215,280197,285557
相談支援体制等の充実／夜間こころの電話相談（千円）,24542,24542,25237,25833,25767
相談支援体制等の充実／都営交通乗車証発行事業（千円）,13539,13592,16751,16398,19313
相談支援体制等の充実／地域医療体制整備（千円）,26460,41690,48986,66576,66077
相談支援体制等の充実／精神疾患早期発見・早期対応（千円）,7708,7705,7922,6416,－
相談支援体制等の充実／災害時こころのケア体制整備事業（千円）,,,,,6813
相談支援体制等の充実／小計（千円）,414954,451178,489778,513482,6813
障害者関係各センターの運営等／発達障害者支援センター（千円）,24576,24576,44187,44764,46782
障害者関係各センターの運営等／心身障害者福祉センター（千円）,265785,286925,333414,525383,－
障害者関係各センターの運営等／総合精神保健福祉センター等（千円）,565346,554154,552402,566052,537639
障害者関係各センターの運営等／小計（千円）,855707,865655,930003,1136199,584421
合計（千円）,35646037,39437063,42027384,43709040,38358095
