市町村,民生費／民生費予算額（千円）,民生費／全予算に占める民生費の割合（％）,民生費／備考,障害福祉費／障害福祉費（千円）,障害福祉費／民生費に占める障害福祉費の割合（％）,精神保健福祉費／精神保健福祉費（千円）,精神保健福祉費／障害福祉費に占める精神保健福祉費の割合（％）,精神保健福祉費／備考
青梅市,24357137,49.3,,3112891,12.7,,,
福生市,11544845,46.4,,1314184,11.4,44069,3.4,精神障害者グループホーム事業費1836千円、地域活動支援センター委託料10916千円、高次脳機能障害者相談支援事業費3771千円、麦わら帽子5520千円、拝島駅作業所6246千円、第2拝島駅作業所6120千円、ジョブスペース游9660千円
羽村市,10282867,46.9,,1422241,13.8,－,－,精神保健福祉費という項目はなく、障害福祉費で総括される。
瑞穂町,5186244,37.7,,850221,16.4,13921,1.6,
奥多摩町,1131464,18.2,,165000,14.6,,,精神保健福祉費という予算科目の枠はなく、障害福祉費の中に含まれる。
あきる野市,13751119,45.1,,2134576,15.5,28160,1.3,
日の出町,3767965,42,,547470,14.5,40,0.1,
檜原村,735937,21.7,,115367,15.7,12144,10.5,
八王子市,101279735,50.9,,14916741,14.7,,,精神保健福祉費という予算費目なく、障害福祉費に含まれる。
町田市,75517649,53.9,,12653604,16.8,21880,0.2,
日野市,29245778,47.5,,4389631,15,,,精神保健福祉費という予算科目なし(他障害と合算)
多摩市,25169269,52.9,,4136896,16.4,,,精神保健福祉費は、障害福祉費に包括されており、精神保健福祉費として、特化して算出はしていない。
稲城市,13984992,40.3,,1462501,10.4,,,算出困難
調布市,41968742,49.1,,6658200,15.8,117330,1.8,精神保健福祉費は特になし、精神障害者生活支援事業費として、衛生費内保健衛生総務費に計上。
狛江市,13401769,0.5,,1655519,0.1,32570,2,
府中市,49611690,49.1,,6916608,13.9,123961,1.8,職員研修費2千円、障害者福祉啓発事業費180千円、障害者手帳診断書料助成費2060千円、相談支援事業委託料9543千円、地域活動支援センター委託料14055千円、障害者困難事例支援事業費200千円、障害者団体事業費375千円、日中活動系サービス推進費97546千円※自立支援介護・訓練等給付費、移動支援事業費は含まず。
小金井市,18123304,0.5,,2424004,0.1,243621,0.1,
武蔵野市,27123861,40.6,,4641415,17.1,26725,0.6,自立支援法の介護・訓練等給付費は含まない。
三鷹市,33090886,47.6,,4339886,13.1,60063,1.3,
立川市,36012350,49,,5646355,15.7,69782,1.2,地域活動支援センター委託料、精神障害者デイサービス事業費、精神障害者支援啓発事業費、精神障害GH運営費補助金(認定短期・扶助費は含めず)
昭島市,21165618,47.7,,2449728,11.6,,,精神保健福祉費としての算出はしていない。
国立市,14394165,49.4,,2933568,20.4,32566,3.1,介護給付費・訓練等給付費は除く。
国分寺市,19027321,46.6,社会福祉費8442420千円,3030896,15.9,6188,,健康推進課より障害福祉課に事業が移管され全て「衛生費」として計上。成年後見市長申立て事務経費を含む。
東大和市,17045680,52.6,,2449188,14.3,175799,7.2,精神保健福祉費は、精神障害者地域生活支援センター委託料25047千円＋自立支援給付費(精神・訓練等給付費＋介護給付費＋計画相談支援給付費＋地域生活支援給付費(移動支援)150752千円)
武蔵村山市,14707968,54.9,,2226039,15.1,,,
小平市,32328296,52.1,,5378760,16.6,,,
西東京市,36648528,52.4,,4591039,12.5,,,精神保健福祉費の項目はない。
東村山市,28597970,52.9,,3674969,12.9,622,0,介護給付費・訓練等給付費は除く。
清瀬市,16460870,58.2,,2316287,14,,,精神保健福祉費としての計上はない。
東久留米市,21800177,53.7,,3599067,16.5,41201,1.1,自立支援法の障害福祉サービスに関する費用は含めず。
