市町村,障害者の雇用の促進等に関する法律に基づく雇用者数／内訳(人数)／精神障害者／常勤,障害者の雇用の促進等に関する法律に基づく雇用者数／内訳(人数)／精神障害者／非常勤,障害者の雇用の促進等に関する法律に基づく雇用者数／内訳(人数)／身体障害者／常勤,障害者の雇用の促進等に関する法律に基づく雇用者数／内訳(人数)／身体障害者／非常勤,障害者の雇用の促進等に関する法律に基づく雇用者数／内訳(人数)／知的障害者／常勤,障害者の雇用の促進等に関する法律に基づく雇用者数／内訳(人数)／知的障害者／非常勤,障害者の就労実習受入れ(庁内実習)の実施について／実施の有無,障害者の就労実習受入れ(庁内実習)の実施について／内訳／期間,障害者の就労実習受入れ(庁内実習)の実施について／内訳／1回当たりの受入れ人数／精神障害者,障害者の就労実習受入れ(庁内実習)の実施について／内訳／1回当たりの受入れ人数／身体障害者,障害者の就労実習受入れ(庁内実習)の実施について／内訳／1回当たりの受入れ人数／知的障害者,障害者の就労実習受入れ(庁内実習)の実施について／備考,
青梅市,,,,,,,,,,,,,
福生市,1,-,3,1,-,-,－,,-,-,-,,
羽村市,-,-,7,-,-,-,－,,-,-,-,,
瑞穂町,-,-,-,-,-,-,－,,-,-,-,,
奥多摩町,-,-,-,-,-,-,－,,-,-,-,,
あきる野市,-,-,9,-,-,-,－,,-,-,-,,
日の出町,-,-,-,-,-,-,－,,-,-,-,,
檜原村,-,-,-,-,-,-,－,,-,-,-,,
八王子市,-,-,-,-,-,-,○,4回/週(最長1年),5,-,1,,
町田市,5,-,48,3,-,-,○,10月31日～11月1日,1,-,-,,
日野市,-,-,22,-,-,-,－,,-,-,-,,
多摩市,-,4,14,1,-,-,○,(1)平成28年7月(9日間)／(2)平成28年7月～8月(10日間)／(3)平成28年11月(10日間)／(4)平成28年11月～12月(９日間),(1)１人／(2)２人／(3)２人／(4)１人,-,(1)１,チャレンジ雇用の体験実習を実施した。,
稲城市,全数は未把握,全数は未把握,全数は未把握,全数は未把握,全数は未把握,全数は未把握,○,10日間×12回,-,-,-,障害種別問わず1回あたり1～4人,
調布市,2,-,21,-,-,-,○,平成29年1月(2日間),-,-,5,特別支援学校実習生,
狛江市,-,-,12,-,-,-,－,,-,-,-,,
府中市,-,-,-,-,-,-,※,,-,-,-,※特別支援学校の生徒を対象に1～2月・2回・各2日間庁内の就労体験を実施。,
小金井市,-,-,14,2,-,-,○,1回(月)あたり約3～5日,2～3,-,2～3,,
武蔵野市,3,1,13,4,-,1,○,※1回目9日間／※2回目10日間(予定),1,,1,※1回目平成28年10月24日～11月４日実施。／2回目平成29年1月16日～１月26日予定,
三鷹市,-,-,13,3,-,-,○※,通年,22(12月1日時点),2(12月1日時点),16(12月1日時点),※特別支援学校の職場体験として、知的障がいの生徒を年5～6人、5～7日の日程で受け入れている。左記数字は就労支援センター登録者の職場実習の数字。,
立川市,-,-,-,-,-,-,○,5月～2月,1～2,0,1～2,1クール4日、8～9回/年,
昭島市,1,-,11,-,-,-,○,平成28年7月21日～22日,-,-,1,,
国立市,-,-,8,-,-,-,○,実習：2週間程度、チャレンジ雇用：6ヶ月以内(1年まで更新可),-,-,-,受け入れ人数：1回あたり1～2人(障害種別を問わず),
国分寺市,-,-,7,7,1,-,○,2日間前後,2,-,1,年4回程度,
東大和市,1,-,5,-,-,-,○,(1)平成28年4月(6日間)／(2)平成28年9月(2日間),1～3,1～3,1～3,実習内容：庁内の事務作業,
武蔵村山市,1,-,5,-,-,-,－,,-,-,-,,
小平市,-,-,27,2,-,-,○,125日/年(成28年度見込み),1～3,1,1～6,,
西東京市,-,-,-,-,-,-,－,,-,-,-,,
東村山市,-,-,-,-,-,-,－,,-,-,-,,
清瀬市,3,-,9,-,5,-,－,,-,-,-,,
東久留米市,-,-,14,1,-,-,○,1回あたり２～５日間,1,1,1,,
