圏域名,保健所,市町村,生活介護,自立訓練(生活訓練),就労移行支援,就労継続支援／A型,就労継続支援／B型,地域活動支援センター(1型)
多摩地域／西多摩,西多摩,青梅市,2,1,2,1,5,1
多摩地域／西多摩,西多摩,福生市,1,-,2,-,5,1
多摩地域／西多摩,西多摩,羽村市,-,-,-,-,1,2
多摩地域／西多摩,西多摩,瑞穂町,-,-,1,-,1,-
多摩地域／西多摩,西多摩,奥多摩町,-,-,-,-,-,-
多摩地域／西多摩,西多摩,あきる野市,2,-,1,1,3,1
多摩地域／西多摩,西多摩,日の出町,1,-,1,-,2,-
多摩地域／西多摩,西多摩,檜原村,-,-,-,-,1,-
多摩地域／南多摩,八王子市,八王子市,10,3,8,4,35,1
多摩地域／南多摩,町田市,町田市,8,2,6,2,15,1
多摩地域／南多摩,南多摩,日野市,2,-,2,1,7,1
多摩地域／南多摩,南多摩,多摩市,3,-,-,1,9,2
多摩地域／南多摩,南多摩,稲城市,1,-,1,1,3,1
多摩地域／北多南摩部,多摩府中,調布市,1,5,4,1,10,1
多摩地域／北多南摩部,多摩府中,狛江市,1,-,-,-,2,1
多摩地域／北多南摩部,多摩府中,府中市,5,-,5,1,13,1
多摩地域／北多南摩部,多摩府中,小金井市,-,-,2,-,6,1
多摩地域／北多南摩部,多摩府中,武蔵野市,2,-,4,1,3,2
多摩地域／北多南摩部,多摩府中,三鷹市,1,1,3,1,11,1
多摩地域／北多西摩部,多摩立川,立川市,4,4,5,2,12,2
多摩地域／北多西摩部,多摩立川,昭島市,2,-,4,-,7,1
多摩地域／北多西摩部,多摩立川,国立市,-,1,2,-,2,1
多摩地域／北多西摩部,多摩立川,国分寺市,3,3,2,-,5,3
多摩地域／北多西摩部,多摩立川,東大和市,1,-,-,-,5,1
多摩地域／北多西摩部,多摩立川,武蔵村山市,3,1,2,,5,1
多摩地域／北多北摩部,多摩小平,小平市,5,-,3,1,12,1
多摩地域／北多北摩部,多摩小平,西東京市,2,-,1,-,8,1
多摩地域／北多北摩部,多摩小平,東村山市,-,-,3,1,14,1
多摩地域／北多北摩部,多摩小平,清瀬市,-,-,-,1,3,1
多摩地域／北多北摩部,多摩小平,東久留米市,3,3,2,2,11,1
