市町村,実施の有無,相談件数／総相談延べ件数,相談件数／うち精神障害者の相談延べ件数(認知症、知的障害、高次脳機能障害を除く),市町村長申立／件数,市町村長申立／精神障害者の申立件数,その他
青梅市,○,,,,,
福生市,○,580,56,2,-,
羽村市,○,257,57,14,-,
瑞穂町,○,3,1,-,-,
奥多摩町,－,-,-,-,1,現在、利用の相談はないが、ケースにより対応。
あきる野市,○,1,1,-,-,
日の出町,－,-,-,-,-,
檜原村,－,-,-,-,-,
八王子市,○※,把握できない,把握できない,11(65歳以上含む),3,65歳以上の市長申立は、高齢者支援課で実施。／※社会福祉協議会で実施
町田市,○,627※,39,23,1,※昨年度同様、延べではなく実人数(高齢522・知的30・精神39・他36)
日野市,○,2,-,-,-,
多摩市,○,15,3,-,-,
稲城市,－,-,-,-,-,
調布市,○,264,21,11,1,
狛江市,○,809,40,6,-,
府中市,○,891,49,8,2,社会福祉協議会権利擁護センターに委託。
小金井市,○,2,1,2,1,
武蔵野市,○,1,1,1,1,
三鷹市,○,1213,271,0,0,社会福祉協議会に委託して実施。
立川市,○,5,2,1,1,
昭島市,○,1940,408,3,-,※新規相談延数
国立市,○,14,-,6,-,市長申し立ての会議にかけられたケースについて記載。相談のみの全体の件数、延べ数については未把握。申し立て支援等の相談は推進機関で実施。／※実件数
国分寺市,○,1,1,1,1,
東大和市,○,28,1,5,-,
武蔵村山市,○,727,88,2,1,
小平市,○,3778,652,26※,7,小平市社会福祉協議会で実施。／※市長申立て件数のうち、障がい者支援課での申立ては１件
西東京市,○,1151,35,9,1,
東村山市,○,284,38,6,-,東村山市社会福祉協議会に委託。
清瀬市,○,33,5,3,-,
東久留米市,○,2,2,0,-,
