圏域名,保健所,市町村,ショートケア／大規模,ショートケア／小規模,デイケア／大規模,デイケア／小規模,ナイトケア,デイナイトケア,合計／施設延べ数,合計／医療機関実数
多摩地域／西多摩,西多摩,青梅市,1,2,1,4,-,-,8,5
多摩地域／西多摩,西多摩,福生市,-,-,-,1,-,-,1,1
多摩地域／西多摩,西多摩,羽村市,-,-,-,-,-,-,-,-
多摩地域／西多摩,西多摩,瑞穂町,-,-,-,-,-,-,-,-
多摩地域／西多摩,西多摩,奥多摩町,-,-,-,-,-,-,-,-
多摩地域／西多摩,西多摩,あきる野市,-,-,-,-,-,-,-,-
多摩地域／西多摩,西多摩,日の出町,-,-,-,-,-,-,-,-
多摩地域／西多摩,西多摩,檜原村,-,-,-,-,-,-,-,-
多摩地域／南多摩,八王子市,八王子市,6,6,6,3,1,1,23,12
多摩地域／南多摩,町田市,町田市,4,1,4,1,2,4,16,5
多摩地域／南多摩,南多摩,日野市,-,1,-,1,-,-,2,1
多摩地域／南多摩,南多摩,多摩市,2,1,2,2,-,-,7,4
多摩地域／南多摩,南多摩,稲城市,-,1,-,1,-,-,2,1
多摩地域／北多摩南部,多摩府中,調布市,2,-,2,2,3,3,12,4
多摩地域／北多摩南部,多摩府中,狛江市,-,1,-,-,-,-,1,1
多摩地域／北多摩南部,多摩府中,府中市,1,2,2,1,1,1,8,3
多摩地域／北多摩南部,多摩府中,小金井市,-,2,-,2,-,-,4,2
多摩地域／北多摩南部,多摩府中,武蔵野市,-,1,-,-,-,-,1,1
多摩地域／北多摩南部,多摩府中,三鷹市,-,-,2,-,-,1,3,2
多摩地域／北多摩西部,多摩立川,立川市,3,-,3,-,-,-,6,3
多摩地域／北多摩西部,多摩立川,昭島市,1,-,1,-,-,-,2,1
多摩地域／北多摩西部,多摩立川,国立市,-,-,-,-,-,-,-,-
多摩地域／北多摩西部,多摩立川,国分寺市,1,1,1,1,2,2,8,2
多摩地域／北多摩西部,多摩立川,東大和市,-,-,-,-,-,-,-,-
多摩地域／北多摩西部,多摩立川,武蔵村山市,-,-,-,-,-,-,-,-
多摩地域／北多摩北部,多摩小平,小平市,1,2,1,2,-,-,6,4
多摩地域／北多摩北部,多摩小平,西東京市,2,-,2,-,1,1,6,2
多摩地域／北多摩北部,多摩小平,東村山市,2,-,2,-,1,1,6,2
多摩地域／北多摩北部,多摩小平,清瀬市,-,3,-,3,1,1,8,3
多摩地域／北多摩北部,多摩小平,東久留米市,-,-,-,-,-,-,-,-
