圏域名,保健所,市町村,病院数,病床数,人口万対病床数
多摩地域／西多摩,西多摩,青梅市,10,2442,179.2
多摩地域／西多摩,西多摩,福生市,-,-,-
多摩地域／西多摩,西多摩,羽村市,-,-,-
多摩地域／西多摩,西多摩,瑞穂町,-,-,-
多摩地域／西多摩,西多摩,奥多摩町,-,-,-
多摩地域／西多摩,西多摩,あきる野市,1,110,13.7
多摩地域／西多摩,西多摩,日の出町,1,60,35
多摩地域／西多摩,西多摩,檜原村,-,-,-
多摩地域／南多摩,八王子市,八王子市,18,4099,70.7
多摩地域／南多摩,町田市,町田市,7,1592,37.1
多摩地域／南多摩,南多摩,日野市,1,238,12.9
多摩地域／南多摩,南多摩,多摩市,3,852,57.7
多摩地域／南多摩,南多摩,稲城市,1,339,38.6
多摩地域／北多摩南部,多摩府中,調布市,3,842,36.9
多摩地域／北多摩南部,多摩府中,狛江市,1,20,2.5
多摩地域／北多摩南部,多摩府中,府中市,5,939,35.9
多摩地域／北多摩南部,多摩府中,小金井市,2,510,42
多摩地域／北多摩南部,多摩府中,武蔵野市,-,-,-
多摩地域／北多摩南部,多摩府中,三鷹市,3,1133,59.9
多摩地域／北多摩西部,多摩立川,立川市,1,63,3.5
多摩地域／北多摩西部,多摩立川,昭島市,-,-,-
多摩地域／北多摩西部,多摩立川,国立市,-,-,-
多摩地域／北多摩西部,多摩立川,国分寺市,-,-,-
多摩地域／北多摩西部,多摩立川,東大和市,-,-,-
多摩地域／北多摩西部,多摩立川,武蔵村山市,-,-,-
多摩地域／北多摩北部,多摩小平,小平市,3,750,39.2
多摩地域／北多摩北部,多摩小平,西東京市,1,326,16.3
多摩地域／北多摩北部,多摩小平,東村山市,3,670,44.3
多摩地域／北多摩北部,多摩小平,清瀬市,2,255,34.3
多摩地域／北多摩北部,多摩小平,東久留米市,1,183,15.7
