市町村,「第4期障有害無福祉計画」の有無,策定委員総数（人）,障害者の策定委員への就任(含予定)の有無と就任している場合の障害種別(人数),策定委員の構成内訳／精神保健・福祉・医療関係者,策定委員の構成内訳／障害者関係団体,策定委員の構成内訳／施設職員,策定委員の構成内訳／教育関係機関,策定委員の構成内訳／企業・雇用関係機関,策定委員の構成内訳／障害福祉サービス事業者,策定委員の構成内訳／学識経験者,策定委員の構成内訳／家族,策定委員の構成内訳／地域住民,策定委員の構成内訳／市町村職員,策定委員の構成内訳／その他（具体的種別）
青梅市,○,13,身体障害者の家族1人／知的障害者の家族2人／精神障害者の家族2人,○,○,○,○,,○,○,○,○,,
福生市,○,22,身体障害者1人,○,○,○,,,○,○,○,○,,民生児童委員、社会福祉協議会、老人クラブ、保育協議会、町会長協議会、ボランティア連絡協議会、ボランティア市民活動センター
羽村市,○,15,身体障害者1人,○,○,○,○,,○,○,,○,,社会福祉協議会、民生児童委員、町内会連合会
瑞穂町,○,10,身体障害者1人,○,○,○,,,,○,,○,○,
奥多摩町,○,18(うち1名オブザーバーを含む),身体障害者2人,○,○,○,,,○,○,○,○,○,民生児童委員、社会福祉協議会職員
あきる野市,○,15,身体障害者1人,4,2,,1,1,4,1,,2,,
日の出町,○,15,－,○,○,○,○,,○,○,○,,,
檜原村,○,9,－,○,○,○,,,○,,○,,○,社会福祉協議会局長・障害者通所施設指導員
八王子市,○,21,身体障害者3人／知的障害者1人／精神障害者1人／難病１人,○,○,○,○,○,○,○,,○,○,社会福祉協議会職員・民生児童委員地域団体（町会・自治会）
町田市,○,10,身体障がい者4名,○,○,○,○,,○,,○,,,社会福祉協議会職員
日野市,○,15,身体障害者1人,○,○,○,○,○,○,,○,○,,
多摩市,○,19,身体障がい者6人／知的障がい者1人,○,○,○,○,,○,○,,,,社会福祉協議会
稲城市,○,11,身体障害者1人,○,○,○,○,○,○,○,○,－,－,
調布市,○,20,身体障害者4人／知的障害者1人／精神障害者1人,○,○,○,－,－,○,○,○,○,－,
狛江市,○,7,－,○,○,○,○,○,○,○,－,○,－,
府中市,○,18,身体障害者2人,○,○,○,○,○,○,○,○,○,,都立多摩療育園、多摩府中保健所、民生児童委員、府中市障害者等地域自立支援協議会の正副会長
小金井市,○,21,身体障害者1人,○,○,○,○,○,○,○,○,○,○,相談支援事業者、民生・児童委員、権利擁護関係
武蔵野市,○,14,身体障害者1人,○,,○,,,○,○,,○,,
三鷹市,○,26,身体障害者3人／精神障害者1人／難病患者1人,○,○,○,○,○,○,○,○,○,,
立川市,○,22,身体障害者2人,○,○,,○,○,○,,○,,,民生・児童委員
昭島市,○,12,身体障害者1人,○,,,,,○,○,○,○,,
国立市,策定中,自立支援協議会に諮る。策定委員は設置しない。,－,－,－,－,－,－,－,－,－,－,－,
国分寺市,○,,,,,,,,,,,,,
東大和市,○,,,,,,,,,,,,,
武蔵村山市,○,14,－,,,,,,,,,,○,
小平市,○,19,精神障害者1人／身体障害者3人／知的障害者1人,○,○,○,○,○,○,○,○,○,,民生委員・児童委員
西東京市,○,10,－,○,,○,○,○,○,○,,,,
東村山市,○,「東村山市障害者福祉計画推進部会」にて、計画案を協議した上で「東村山市障害者自立支援協議会」の意見やパブリックコメントの実施により、計画を策定。,,,,,,,,,,,,
清瀬市,○,10,身体障害者1人,,○,○,○,,○,○,,○,,
東久留米市,○,16(自立支援協議会の委員),身体障害者2人／知的障害者1人,1,－,0,1,1,5,1,2,1,0,社会福祉協議会職員(1名)
