市町村,日常生活自立支援事業(権利擁護)に関する相談／相談延べ件数,日常生活自立支援事業(権利擁護)に関する相談／契約件数,成年後見制度に関する相談／相談延べ件数,成年後見制度に関する相談／申立件数,備考
青梅市,1275,-,-,-,
福生市,66,-,56,4,
羽村市,350,4,-,-,
瑞穂町,,,,,
奥多摩町,1,1,-,-,
あきる野市,591,12,117,-,
日の出町,,,,,
檜原村,1,-,-,-,
八王子市,32,49,86,-,
町田市,918,7,118,6,
日野市,1511,51,248,-,
多摩市,1778,37,17,1,契約件数10件／解約件数3件
稲城市,577,2,-,-,
調布市,1597,4,-,-,"日常生活支援全体の新規契約は19件／相談延べ件数は4,647件"
狛江市,124,9,40,3,
府中市,1413,5,49,-,
小金井市,2489,41,86,3,
武蔵野市,-,-,-,-,実施していない
三鷹市,,,,,
立川市,255,13,99,34,
昭島市,2411,21,293,-,
国立市,2367,5,20,-,
国分寺市,2953,-,70,3,成年後見制度に関する相談総数193件
東大和市,1127,1,76,1,
武蔵村山市,694,11,109,1,
小平市,1938,6,652,7,
西東京市,233,11,35,1,
東村山市,688,19,38,不明,
清瀬市,1306,2,56,-,
東久留米市,882,5,5,-,
