圏域名,保健所,病院外来数,診療所数,計,人口万対外来箇所数
特別区／区中央部,千代田区,5,61,66,11.1
特別区／区中央部,中央区,1,32,33,2.2
特別区／区中央部,港区,5,75,80,3.2
特別区／区中央部,文京区,6,22,28,1.3
特別区／区中央部,台東区,1,18,19,0.9
特別区／区南部,品川区,2,25,27,0.7
特別区／区南部,大田区,5,22,27,0.4
特別区／区西南部,目黒区,4,26,30,1.1
特別区／区西南部,世田谷区,7,52,59,0.6
特別区／区西南部,渋谷区,4,54,58,2.5
特別区／区西部,新宿区,7,56,63,1.9
特別区／区西部,中野区,3,17,20,0.6
特別区／区西部,杉並区,5,35,40,0.7
特別区／区西北部,豊島区,1,37,38,1.3
特別区／区西北部,北区,4,21,25,0.7
特別区／区西北部,板橋区,11,13,24,0.4
特別区／区西北部,練馬区,5,21,26,0.4
特別区／区東北部,荒川区,1,10,11,0.5
特別区／区東北部,足立区,7,22,29,0.4
特別区／区東北部,葛飾区,2,18,20,0.4
特別区／区東部,墨田区,2,9,11,0.4
特別区／区東部,江東区,2,23,25,0.5
特別区／区東部,江戸川区,1,19,20,0.3
島しょ／島しょ,大島町,-,-,-,-
島しょ／島しょ,利島村,-,-,-,-
島しょ／島しょ,新島村,-,-,-,-
島しょ／島しょ,神津島村,-,-,-,-
島しょ／島しょ,三宅村,-,-,-,-
島しょ／島しょ,御蔵島村,-,-,-,-
島しょ／島しょ,八丈町,-,-,-,-
島しょ／島しょ,青ヶ島村,-,-,-,-
島しょ／島しょ,小笠原村,-,-,-,-
