圏域名,保健所,生活介護,自立訓練(生活訓練),就労移行支援,就労継続支援／A型,就労継続支援／B型,地域活動支援ｾﾝﾀｰ(1型)
特別区／区中央部,千代田区,-,-,10,1,-,1
特別区／区中央部,中央区,-,1,5,4,4,1
特別区／区中央部,港区,-,-,7,6,5,2
特別区／区中央部,文京区,2,1,7,1,6,1
特別区／区中央部,台東区,2,1,7,2,7,1
特別区／区南部,品川区,5,1,4,2,6,1
特別区／区南部,大田区,-,2,11,4,15,2
特別区／区西南部,目黒区,-,3,2,1,4,1
特別区／区西南部,世田谷区,2,5,8,1,23,2
特別区／区西南部,渋谷区,-,-,7,1,7,2
特別区／区西部,新宿区,1,4,15,3,10,1
特別区／区西部,中野区,1,1,6,1,7,1
特別区／区西部,杉並区,2,-,5,1,16,-
特別区／区西北部,豊島区,2,2,9,3,8,1
特別区／区西北部,北区,-,4,5,2,8,1
特別区／区西北部,板橋区,2,4,5,2,11,2
特別区／区西北部,練馬区,-,1,2,6,16,4
特別区／区東北部,荒川区,2,3,3,2,7,1
特別区／区東北部,足立区,4,2,10,6,25,1
特別区／区東北部,葛飾区,-,2,5,6,8,3
特別区／区東部,墨田区,-,1,5,-,10,1
特別区／区東部,江東区,1,-,4,4,16,3
特別区／区東部,江戸川区,7,2,7,5,10,3
島しょ／島しょ,大島町,-,-,-,-,1,-
島しょ／島しょ,利島村,-,-,-,-,-,-
島しょ／島しょ,新島村,-,-,-,-,-,-
島しょ／島しょ,神津島村,-,-,-,-,-,-
島しょ／島しょ,三宅村,-,-,-,-,-,-
島しょ／島しょ,御蔵島村,-,-,-,-,-,-
島しょ／島しょ,八丈町,1,-,-,-,2,-
島しょ／島しょ,青ヶ島村,-,-,-,-,-,-
島しょ／島しょ,小笠原村,-,-,-,-,-,-
