市町村,実施の有無,名称,相談件数,その他、備考
青梅市,※,,,※事業としてはないが常時対応。
福生市,○,(1)心の相談／(2)心配ごと相談,(1)13／(2)2,
羽村市,○,(1)ふれあい相談／(2)地域活動支援センター1型事業あおば相談支援事業,(1)271／(2)189,
瑞穂町,○,心の相談、障害者相談支援事業、福祉一般相談,,
奥多摩町,－,,,
あきる野市,○,五日市はつらつセンター,2406,
日の出町,○,相談業務,,
檜原村,※,,－,※総合相談として実施。
八王子市,－,,,
町田市,○,,,精神障害者のみを対象とする相談事業ではない為今回から除外(前年の相談件数は相談総数)
日野市,○,(1)財産保全サービス／(2)応急日常金銭管理,(1)47／(2)136,(1)身体障害や病弱・高齢により外出困難者に対し、預貯金の出し入れや日常生活に必要な各種手続き代行、書類預かりサービスを提供。／(2)成年後見制度の申し立てから審判が下りるまでの応急支援として、地域福祉権利擁護事業と同様のサービスを実施。
多摩市,○,地域活動支援センター,1549,
稲城市,○,(1)心配ごと相談／(2)指定特定相談支援事業／(3)地域活動支援センター,(1)11／(2)1634／(3)1868,
調布市,○,こころの相談,17243,心配ごと相談9件、電話相談23件
狛江市,○,東京都区市町村障害者就労支援事業,599,
府中市,○,ふれあい福祉相談(総合相談),298※,※対象別集計を実施していないため総数
小金井市,－,,,
武蔵野市,－,,,
三鷹市,,,,
立川市,○,アルコール相談,12,
昭島市,－,,,
国立市,○,くらしの相談,15,
国分寺市,○,(1)心配ごと相談／(2)福祉サービス総合相談,(1)0／(2)9,(1)相談件数総数5件／(2)相談件数総数36件
東大和市,○,精神障害者地域生活支援センターウエルカムでの相談,7739,
武蔵村山市,○,ふくし法律相談,4,
小平市,○,福祉サービス等の利用に関する苦情相談,18,相談者自身または相談の対象が障害者である案件。苦情にまで発展せずに相談・助言対応で済んだものも含む。障害の種類まではデータ分類していないが、18件の内11件が精神障害者に関わる相談。
西東京市,－,,,富士町作業所（サンライズ富士）は、平成27年12月末日をもって運営終了しました。平成28年1月からはNPO法人ミモザにより運営されています。
東村山市,○,指定相談支援事業,684,
清瀬市,○,障害者相談支援事業,570,主たる対象は、身体障害だが、精神障害者も対応している。尚、相談件数には発達障害、高次脳機能障害も含む。
東久留米市,－,,,
