圏域名,保健所,市町村,人口(H27.10.1)（人）,市町村保健師数（人）,人口万対保健師数（人）,都保健所,都保健所保健師数(現員数)（人）,人口万対保健師数（人）
西多摩,西多摩,青梅市,136247,13,1.0,,,
西多摩,西多摩,福生市,58216,11,1.9,,,
西多摩,西多摩,羽村市,55764,12,2.2,,,
西多摩,西多摩,瑞穂町,33095,9,2.7,,,
西多摩,西多摩,奥多摩町,5215,2,3.8,,,
西多摩,西多摩,あきる野市,80582,14,1.7,,,
西多摩,西多摩,日の出町,17148,3,1.7,,,
西多摩,西多摩,檜原村,2211,3,13.6,,,
西多摩全体,,,,,,西多摩,24,0.6
南多摩,八王子市,八王子市,579581,79,1.4,※平成19年4月から八王子市保健所,※平成19年4月から八王子市保健所,※平成19年4月から八王子市保健所
南多摩,町田市,町田市,429317,63,1.5,※平成23年4月から町田市保健所,※平成23年4月から町田市保健所,※平成23年4月から町田市保健所
南多摩,南多摩,日野市,184975,22,1.2,,,
南多摩,南多摩,多摩市,147720,33,2.2,,,
南多摩,南多摩,稲城市,87719,12,1.4,,,
南多摩全体,,,,,,南多摩南多摩,17,0.4
北多摩南部,多摩府中,調布市,228443,37,1.6,,,
北多摩南部,多摩府中,狛江市,81289,7,0.9,,,
北多摩南部,多摩府中,府中市,261209,33,1.3,,,
北多摩南部,多摩府中,小金井市,121352,9,0.7,,,
北多摩南部,多摩府中,武蔵野市,143691,29,2.0,,,
北多摩南部,多摩府中,三鷹市,189151,26,1.4,,,
北多摩南部全体,,,,,,多摩府中,39,0.4
北多摩西部,多摩立川,立川市,180670,23,1.3,,,
北多摩西部,多摩立川,昭島市,111481,9,0.8,,,
北多摩西部,多摩立川,国立市,75655,19,2.5,,,
北多摩西部,多摩立川,国分寺市,122791,19,1.5,,,
北多摩西部,多摩立川,東大和市,85351,14,1.6,,,
北多摩西部,多摩立川,武蔵村山市,70509,11,1.6,,,
北多摩西部全体,,,,,,多摩立川,25,0.4
北多摩北部,多摩小平,小平市,191258,21,1.1,,,
北多摩北部,多摩小平,西東京市,200075,30,1.5,,,
北多摩北部,多摩小平,東村山市,151073,22,1.5,,,
北多摩北部,多摩小平,清瀬市,74381,17,2.3,,,
北多摩北部,多摩小平,東久留米市,116863,20,1.7,,,
北多摩北部全体,,,,,,多摩小平,24,0.3
合計,,,4223032,622,,,129,
人口万対平均保健師数,,,,,2.0,,,0.4
,,,,,,,,
,,,,,,,,
