"科目","金額[百万円]"
"年度","2020"
"期間（自）","20200401"
"期間（至）","20210331"
"経常費用","160065"
"経常費用 業務費用","81555"
"経常費用 業務費用 人件費","20586"
"経常費用 業務費用 人件費 職員給与費","16149"
"経常費用 業務費用 人件費 賞与等引当金繰入額","1031"
"経常費用 業務費用 人件費 退職手当引当金繰入額","1180"
"経常費用 業務費用 人件費 その他","2226"
"経常費用 業務費用 物件費等","60104"
"経常費用 業務費用 物件費等 物件費","46431"
"経常費用 業務費用 物件費等 維持補修費","2642"
"経常費用 業務費用 物件費等 減価償却費","11031"
"経常費用 業務費用 物件費等 その他","-"
"経常費用 業務費用 その他の業務費用","864"
"経常費用 業務費用 その他の業務費用 支払利息","9"
"経常費用 業務費用 その他の業務費用 徴収不能引当金繰入額","72"
"経常費用 業務費用 その他の業務費用 その他","784"
"経常費用 移転費用","78510"
"経常費用 移転費用 補助金等","45788"
"経常費用 移転費用 社会保障給付","25255"
"経常費用 移転費用 他会計への繰出金","6604"
"経常費用 移転費用 その他","862"
"経常収益","12233"
"経常収益 使用料及び手数料","8875"
"経常収益 その他","3357"
"純経常行政コスト","-147832"
"臨時損失","617"
"臨時損失 災害復旧事業費","-"
"臨時損失 資産除売却損","617"
"臨時損失 投資損失引当金繰入額","-"
"臨時損失 損失補償等引当金繰入額","-"
"臨時損失 その他","-"
"臨時利益","0"
"臨時利益 資産売却益","0"
"臨時利益 その他","-"
"純行政コスト","-148449"

"一般会計財務書類（行政コスト計算書）(令和2年4月1日から令和3年3月31日)","Ver202103"
