"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","知っている[人]","知らない[人]","無回答[人]"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","全体",,"658","94","562","2"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","性・年代別","男性（計）","248","32","216","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","性・年代別","男性 18～29歳","23","1","22","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","性・年代別","男性 30～39歳","35","4","31","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","性・年代別","男性 40～49歳","41","5","36","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","性・年代別","男性 50～59歳","49","6","43","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","性・年代別","男性 60～69歳","39","7","32","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","性・年代別","男性 70歳以上","60","8","52","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","性・年代別","男性 無回答","1","1","0","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","性・年代別","女性（計）","400","62","337","1"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","性・年代別","女性 18～29歳","28","2","26","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","性・年代別","女性 30～39歳","65","5","60","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","性・年代別","女性 40～49歳","95","15","80","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","性・年代別","女性 50～59歳","82","14","68","0"
"202003","区基本計画","Q11. 港区基本計画の策定や見直しの際に、港区に住み、働き、学ぶ皆さんが主体となって、意見を出し合い、区に提言を行う区民参画組織として「みなとタウンフォーラム」が設置されていることを知っていますか。（１つ選択）","性・年代別","女性 60～69歳","55","11","43","1"
