"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
2017,"介護保険料",3949223,23.5,3949223,22.9
2017,"使用料及び手数料",1,0.0,1,0.0
2017,"国庫支出金",3334241,19.8,3334241,19.3
2017,"支払基金交付金",4417660,26.3,4417660,25.6
2017,"都支出金",2356188,14.0,2356188,13.7
2017,"財産収入",208,0.0,208,0.0
2017,"寄附金",1,0.0,1,0.0
2017,"繰入金",2734790,16.3,2734790,15.8
2017,"繰越金",6641,0.0,448758,2.6
2017,"諸収入",19609,0.1,19609,0.1
2018,"介護保険料",3947404,24.7,,
2018,"使用料及び手数料",1,0.0,,
2018,"国庫支出金",3104869,19.5,,
2018,"支払基金交付金",4016861,25.2,,
2018,"都支出金",2219460,13.9,,
2018,"財産収入",259,0.0,,
2018,"寄附金",1,0.0,,
2018,"繰入金",2664600,16.7,,
2018,"繰越金",5419,0.0,,
2018,"諸収入",107,0.0,,

"平成30年度港区行政資料集　介護保険会計歳入予算","Ver201803",,,,
