品名,ひんめい,分別,コメント
ＩＨ調理器,あいえいちちょうりき、あいえっちちょうりき、でんじちょうりき,粗大ごみ,
?アイスの袋（プラスチック製）,あいすのふくろ,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
アイスパック,あいすぱっく,燃やすごみ,
アイスピック,あいすぴっく,燃やさないごみ,紙などに包んで「キケン」の表示をお願いします。
アイロン,あいろん,燃やさないごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。
アイロン台,あいろんだい,粗大ごみ,
空き缶,あきかん,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
空き箱,あきばこ,資源（古紙）,"折りたたんでひもでしばるか、紙袋に入れてください。汚れの取れないものは燃やすごみの日に出してください。"""
空きびん,あきびん,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
アコーディオンカーテン,あこーでぃおんかーてん,粗大ごみ,
アタッシュケース,あたっしゅけーす,粗大ごみ,
圧力鍋,あつりょくなべ,粗大ごみ,
油（食用油）,あぶら,燃やすごみ,凝固剤で固めるか紙や布に染み込ませて出してください。
油（機械油）,あぶら,燃やすごみ,凝固剤で固めるか紙や布に染み込ませて出してください。
油の付着した缶,あぶらのふちゃくしたかん,燃やさないごみ,油物は資源になりません。
油の付着したびん,あぶらのふちゃくしたびん,燃やさないごみ,油物は資源になりません。
油の容器（ガラス製）,あぶらのようき,燃やさないごみ,油物は資源になりません。
油の容器（金属製）,あぶらのようき,燃やさないごみ,油物は資源になりません。
油の容器（プラスチック製）,あぶらのようき,燃やすごみ,油物は資源になりません。
油引きダンボール,あぶらびきだんぼーる,燃やすごみ,油引き・油の染みた物は燃やすごみで出してください。
雨合羽,あまがっぱ,燃やすごみ,
雨戸,あまど,粗大ごみ,
編み機,あみき,粗大ごみ,
網戸,あみど,粗大ごみ,
アルカリ乾電池,あるかりかんでんち,燃やさないごみ（水銀を含む製品）,
アルバム,あるばむ,燃やすごみ,
アルミ缶,あるみかん,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
アルミガード,あるみがーど,燃やさないごみ,
アルミ箔,あるみはく,燃やさないごみ,
アルミホイル,あるみほいる,燃やさないごみ,
アンカ,あんか,燃やさないごみ,
安全靴,あんぜんぐつ,燃やすごみ,
安全ピン,あんぜんぴん,燃やさないごみ,ケースなどに入れて出してください。
アンテナ,あんてな,粗大ごみ,
アンプ・ステレオ,あんぷ、すてれお,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
石,いし,収集不可,専門業者に依頼してください。
衣装ケース・ファンシーケース,いしょうけーす、ふぁんしーけーす,粗大ごみ,
衣装箱,いしょうばこ,粗大ごみ,
いす,いす,粗大ごみ,
板類,いた、いたるい,粗大ごみ,アルミ・スチール・ステンレス・ガラス製、トタン板、ベニヤ板等
板きれ（木製）,いたきれ,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
一輪車,いちりんしゃ,粗大ごみ,
一升びん,いっしょうびん,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
一斗缶,いっとかん,燃やさないごみ,※中身のないものに限る。
糸,いと,燃やすごみ,
犬小屋,いぬごや,粗大ごみ,
医療廃棄物,いりょうはいきぶつ,収集不可,専門業者に依頼してください。
医療廃棄物・在宅（点滴のびん）,いりょうはいきぶつ　ざいたく,燃やさないごみ,
医療廃棄物・在宅（注射針）,いりょうはいきぶつ　ざいたく,収集不可,回収薬局へお持ちください
衣類,いるい,燃やすごみ,※古着回収（拠点回収）でも回収しています。 
衣類乾燥機,いるいかんそうき,家電リサイクル法対象品,
入れ歯,いれば,燃やさないごみ,
色鉛筆,いろえんぴつ,燃やすごみ,
引火物各種,いんかぶつかくしゅ,収集不可,専門業者に依頼してください。
印鑑（金属製）,いんかん,燃やさないごみ,
印鑑（象牙製）,いんかん,燃やすごみ,
印鑑（プラスチック製）,いんかん,燃やすごみ,
印鑑（木製）,いんかん,燃やすごみ,
飲料容器（紙パック）,いんりょうようき,資源（古紙）,"折りたたんでひもでしばるか、紙袋に入れてください。汚れの取れないものは燃やすごみの日に出してください。"""
飲料容器（紙パック・コーティングあり）,いんりょうようき,燃やすごみ,資源にはなりません。
飲料容器（びん・かん）,いんりょうようき,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
飲料容器（ペットボトル）,いんりょうようき,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やすごみの日に出してください。
