"科目","金額[百万円]"
"年度","2018"
"期間（自）","20180401"
"期間（至）","20190331"
"経常費用","117630"
"経常費用 業務費用","75771"
"経常費用 業務費用 人件費","19157"
"経常費用 業務費用 人件費 職員給与費","15811"
"経常費用 業務費用 人件費 賞与等引当金繰入額","945"
"経常費用 業務費用 人件費 退職手当引当金繰入額","939"
"経常費用 業務費用 人件費 その他","1462"
"経常費用 業務費用 物件費等","55055"
"経常費用 業務費用 物件費等 物件費","42339"
"経常費用 業務費用 物件費等 維持補修費","2575"
"経常費用 業務費用 物件費等 減価償却費","10140"
"経常費用 業務費用 物件費等 その他","-"
"経常費用 業務費用 その他の業務費用","1558"
"経常費用 業務費用 その他の業務費用 支払利息","21"
"経常費用 業務費用 その他の業務費用 徴収不能引当金繰入額","21"
"経常費用 業務費用 その他の業務費用 その他","1516"
"経常費用 移転費用","41860"
"経常費用 移転費用 補助金等","13514"
"経常費用 移転費用 社会保障給付","21630"
"経常費用 移転費用 他会計への繰出金","6446"
"経常費用 移転費用 その他","270"
"経常収益","10769"
"経常収益 使用料及び手数料","7672"
"経常収益 その他","3097"
"純経常行政コスト","-106861"
"臨時損失","1"
"臨時損失 災害復旧事業費","-"
"臨時損失 資産除売却損","1"
"臨時損失 投資損失引当金繰入額","-"
"臨時損失 損失補償等引当金繰入額","-"
"臨時損失 その他","-"
"臨時利益","0"
"臨時利益 資産売却益","0"
"臨時利益 その他","-"
"純行政コスト","-106862"

"一般会計財務書類（行政コスト計算書）(平成30年4月1日から平成31年3月31日)","Ver201903"
