地域階層コード,地域コード,都道府県,計（経営体）,１人（経営体）,２（経営体）,３・４（経営体）,５～９（経営体）,10～19（経営体）,20～49（経営体）,50～99（経営体）,100～149（経営体）,150～199（経営体）,200～299（経営体）,300人以上（経営体）
0,0,総数,77305,44930,16640,8993,4892,1334,402,84,16,9,5,-
1,1,北海道,10087,4140,2535,1798,1208,336,53,13,2,1,1,-
1,2,青森県,3699,1584,997,782,298,29,5,1,2,1,-,-
1,3,岩手県,2255,1253,543,252,140,38,16,10,1,1,1,-
1,4,宮城県,1947,810,477,325,243,51,26,12,-,1,2,-
1,5,秋田県,546,388,64,34,53,6,1,-,-,-,-,-
1,6,山形県,249,176,32,23,9,9,-,-,-,-,-,-
1,7,福島県,14,-,-,2,1,5,3,3,-,-,-,-
1,8,茨城県,378,140,136,69,15,6,9,2,1,-,-,-
1,12,千葉県,1916,1072,560,196,43,21,22,2,-,-,-,-
1,13,東京都,398,262,83,35,11,2,2,1,1,1,-,-
1,14,神奈川県,964,574,209,101,57,17,4,-,1,1,-,-
1,15,新潟県,1307,981,185,89,35,13,3,1,-,-,-,-
1,16,富山県,262,119,32,35,36,21,14,4,1,-,-,-
1,17,石川県,1246,796,218,135,55,30,9,3,-,-,-,-
1,18,福井県,684,433,107,55,67,20,2,-,-,-,-,-
1,22,静岡県,2244,1464,294,163,230,65,20,6,2,-,-,-
1,23,愛知県,2084,988,694,268,120,10,4,-,-,-,-,-
1,24,三重県,3266,1581,1077,435,119,32,18,3,-,1,-,-
1,26,京都府,589,485,64,8,19,7,5,-,-,-,1,-
1,27,大阪府,499,303,101,55,27,12,1,-,-,-,-,-
1,28,兵庫県,2852,1810,429,273,300,38,2,-,-,-,-,-
1,30,和歌山県,1584,1204,232,76,44,18,10,-,-,-,-,-
1,31,鳥取県,484,364,49,24,25,17,3,1,1,-,-,-
1,32,島根県,1466,1235,99,30,63,23,13,3,-,-,-,-
1,33,岡山県,1002,642,200,133,24,3,-,-,-,-,-,-
1,34,広島県,2163,1390,429,155,127,51,11,-,-,-,-,-
1,35,山口県,3176,2396,560,142,45,24,9,-,-,-,-,-
1,36,徳島県,1301,859,271,91,71,8,1,-,-,-,-,-
1,37,香川県,1427,910,289,165,55,8,-,-,-,-,-,-
1,38,愛媛県,3529,2116,830,359,172,45,6,-,-,1,-,-
1,39,高知県,1881,1397,197,132,87,44,22,2,-,-,-,-
1,40,福岡県,2491,1261,624,469,117,13,6,1,-,-,-,-
1,41,佐賀県,1769,576,553,460,151,27,2,-,-,-,-,-
1,42,長崎県,6332,4210,1232,514,238,87,41,7,2,1,-,-
1,43,熊本県,2964,1438,856,440,193,31,6,-,-,-,-,-
1,44,大分県,1978,1272,453,136,76,33,8,-,-,-,-,-
1,45,宮崎県,1060,650,172,86,80,51,21,-,-,-,-,-
1,46,鹿児島県,3292,2212,496,309,175,69,21,8,2,-,-,-
1,47,沖縄県,1920,1439,261,139,63,14,3,1,-,-,-,-
,,,,,,,,,,,,,,
2013年漁業センサス,,,,,,,,,,,,,,
第３表　都道府県、11月１日現在の海上作業従事者規模別漁業経営体数,,,,,,,,,,,,,,
地域階層コード（0：総数　1：都道府県）,,,,,,,,,,,,,,
