地域階層コード,地域コード,地域,総数（人）,自営・雇われの別／自営のみ（人）,自営・雇われの別／雇われのみ（人）,男女の別／男／計（人）,男女の別／男／29歳以下（人）,男女の別／男／30～39歳（人）,男女の別／男／40～49歳（人）,男女の別／男／50～59歳（人）,男女の別／男／60歳以上（人）,男女の別／男／60歳以上／うち65歳以上（人）,男女の別／女／計（人）,男女の別／女／29歳以下（人）,男女の別／女／30～39歳（人）,男女の別／女／40～49歳（人）,男女の別／女／50～59歳（人）,男女の別／女／60歳以上（人）,男女の別／女／60歳以上／うち65歳以上（人）
0,13000,総数,972,594,378,938,49,120,129,226,414,283,34,2,10,6,5,11,8
1,13100,区部,261,120,141,248,21,23,33,67,104,63,13,-,2,1,3,7,6
2,13101,千代田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13102,中央区,92,7,85,92,9,7,9,29,38,11,-,-,-,-,-,-,-
2,13103,港区,29,18,11,27,2,4,6,5,10,7,2,-,-,-,1,1,1
2,13106,台東区,16,16,-,14,1,5,-,3,5,4,2,-,2,-,-,-,-
2,13107,墨田区,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
2,13108,江東区,15,14,1,14,1,1,2,5,5,4,1,-,-,-,-,1,1
2,13109,品川区,29,7,22,27,2,2,7,8,8,6,2,-,-,-,1,1,1
2,13111,大田区,35,34,1,32,1,2,4,5,20,17,3,-,-,-,-,3,2
2,13122,葛飾区,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
2,13123,江戸川区,37,16,21,34,5,2,4,10,13,10,3,-,-,1,1,1,1
1,13350,島部,711,474,237,690,28,97,96,159,310,220,21,2,8,5,2,4,2
2,13361,大島町,133,111,22,117,1,11,11,26,68,51,16,1,8,4,1,2,1
3,13361,大島町岡田,26,25,1,26,-,3,3,2,18,12,-,-,-,-,-,-,-
3,13361,大島町元町,38,21,17,24,1,-,5,6,12,9,14,1,8,4,1,-,-
3,13361,大島町泉津,5,5,-,5,-,-,2,1,2,2,-,-,-,-,-,-,-
3,13361,大島町野増,9,9,-,9,-,1,-,5,3,2,-,-,-,-,-,-,-
3,13361,大島町波浮港,55,51,4,53,-,7,1,12,33,26,2,-,-,-,-,2,1
2,13362,利島村,2,2,-,2,-,1,-,-,1,1,-,-,-,-,-,-,-
2,13363,新島村,89,62,27,89,-,4,5,18,62,54,-,-,-,-,-,-,-
3,13363,新島村若郷,36,11,25,36,-,2,3,7,24,23,-,-,-,-,-,-,-
3,13363,新島村新島,25,24,1,25,-,2,1,5,17,13,-,-,-,-,-,-,-
3,13363,新島村式根島,28,27,1,28,-,-,1,6,21,18,-,-,-,-,-,-,-
2,13364,神津島村,182,90,92,181,9,22,24,50,76,47,1,-,-,-,1,-,-
2,13381,三宅村,58,54,4,56,1,3,10,9,33,26,2,-,-,1,-,1,1
3,13381,三宅村神着,12,12,-,11,-,-,2,-,9,8,1,-,-,-,-,1,1
3,13381,三宅村伊豆,8,8,-,7,1,-,-,2,4,3,1,-,-,1,-,-,-
3,13381,三宅村坪田,10,10,-,10,-,-,3,2,5,4,-,-,-,-,-,-,-
3,13381,三宅村伊ヶ谷,3,3,-,3,-,1,-,-,2,2,-,-,-,-,-,-,-
3,13381,三宅村阿古,25,21,4,25,-,2,5,5,13,9,-,-,-,-,-,-,-
2,13382,御蔵島村,8,8,-,8,2,4,-,1,1,1,-,-,-,-,-,-,-
2,13401,八丈町,156,85,71,155,4,30,30,39,52,31,1,1,-,-,-,-,-
3,13401,八丈町三根,94,41,53,94,1,19,23,25,26,16,-,-,-,-,-,-,-
3,13401,八丈町大賀郷,44,33,11,43,2,7,6,8,20,12,1,1,-,-,-,-,-
3,13401,八丈町末吉,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
3,13401,八丈町中之郷,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
2,13402,青ヶ島村,8,8,-,8,-,-,1,5,2,-,-,-,-,-,-,-,-
2,13421,小笠原村,75,54,21,74,11,22,15,11,15,9,1,-,-,-,-,1,-
3,13421,小笠原村父島,52,35,17,51,9,17,9,8,8,5,1,-,-,-,-,1,-
3,13421,小笠原村母島,23,19,4,23,2,5,6,3,7,4,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
2013年漁業センサス,,,,,,,,,,,,,,,,,,,
第20表　地域（区町村・漁業地区）、自営漁業・漁業雇われ、男・女、年齢階層別漁業就業者数,,,,,,,,,,,,,,,,,,,
地域階層コード（0：東京都総数　1：区部・島部　2：区町村　3　漁業地区）,,,,,,,,,,,,,,,,,,,
