"名称","種別","所在地","電話番号","緯度","経度","定員数3歳児","定員数4歳児","定員数5歳児"
"赤羽幼稚園","区立","東京都港区三田二丁目6番2号","03-3452-0246","35.65164","139.74233",,"30","30"
"芝浦幼稚園","区立","東京都港区芝浦四丁目8番18号","03-3452-0574","35.638325","139.74618","40","60","30"
"高輪幼稚園","区立","東京都港区高輪二丁目12番31号","03-3447-3356","35.635513","139.735274","20","30","30"
"白金台幼稚園","区立","東京都港区白金台三丁目7番1号","03-3443-5666","35.635683","139.726546","40","60","30"
"三光幼稚園","区立","東京都港区白金三丁目13番8号","03-3444-4233","35.645013","139.728861","20","30","30"
"港南幼稚園","区立","東京都港区港南四丁目3番27号","03-3471-7347","35.629337","139.748862","40","60","60"
"麻布幼稚園","区立","東京都港区麻布台一丁目5番15号","03-3583-1858","35.662051","139.738546","40","30","30"
"南山幼稚園","区立","東京都港区元麻布三丁目8番15号","03-3408-4785","35.657268","139.73058","20","30","30"
"本村幼稚園","区立","東京都港区南麻布三丁目9番33号","03-3446-3677","35.649917","139.730274",,"30","30"
"中之町幼稚園","区立","東京都港区赤坂九丁目2番26号","03-3405-7619","35.66803","139.73175","40","30","30"
"青南幼稚園","区立","東京都港区南青山四丁目18番17号","03-3402-0758","35.663577","139.716965","20","30","30"
"にじのはし幼稚園","区立","東京都港区台場一丁目1番5号","03-5500-2577","35.633486","139.777476","20","30","30"

"幼稚園","Ver202404",,,,,,,
