種別,契約番号,工事件名,工事場所,工事費（円）,施工延長（ｍ）,認定最小幅員（ｍ）,認定最大幅員（ｍ）
道路新設改良工事,３狛契第1482号,市道第314・315号線新設改良工事,狛江市岩戸南三丁目10番先～同三丁目11番先間　外1箇所,32155200,182.5,3.3,4.6
道路新設改良工事,３狛契第1289号,市道第624・627号線新設改良工事,狛江市岩戸北三丁目21番先～同三丁目22番先間　外1箇所,21470900,141.7,3,4
道路新設改良工事,３狛契第1340号,市道第429号線新設改良工事,狛江市猪方二丁目17番先～同二丁目６番先間,8624000,38.5,4,4
道路維持工事,２狛契第1951号,市道第11号線自転車ナビマーク設置工事,狛江市岩戸南一丁目４番先～同駒井町二丁目４番先間※令和２年度繰越事業,2017400,814.9,,
道路維持工事,２狛契第1955号,市道第27号線舗装打換工事,狛江市東野川二丁目14番先～同一丁目５番先間※令和２年度繰越事業,28224900,182.9,5.4,5.7
道路維持工事,２狛契第1953号,市道第331号線舗装打換工事,狛江市岩戸南四丁目８番先～同四丁目２番先間※令和２年度繰越事業,23782000,210.1,4.9,5.9
道路維持工事,２狛契第1952号,市道第368号線舗装打換工事,狛江市岩戸南一丁目12番先～同一丁目16番先間※令和２年度繰越事業,12868900,108.2,6,6
道路維持工事,３狛契第1123号,市道第775・778号線舗装打換工事,狛江市西野川一丁目12番先～同西野川一丁目11番先間　外1箇所,16827800,155.8,5,5
道路維持工事,３狛契第1106号,市道第173号線舗装打換工事,狛江市中和泉三丁目17番先～同三丁目18番先間,8690000,94.6,4,4
道路維持工事,３狛契第1325号,市道第418・497号線舗装打換工事,狛江市駒井町三丁目15番先～同三丁目13番先間外１箇所,13489300,74.7,4,13.2
