年度（和暦）,年度（西暦）,専用住宅数,専用住宅床面積（㎡）,併用住宅数,併用住宅床面積（㎡）,農家数,農家床面積（㎡）,附属建物数,附属建物床面積（㎡）,アパート数,アパート床面積（㎡）,旅館・料亭数,旅館・料亭床面積（㎡）,事務所・店舗数,事務所・店舗床面積（㎡）,病院数,病院床面積（㎡）,浴場数,浴場床面積（㎡）,工場・倉庫数,工場・倉庫床面積（㎡）,土蔵数,土蔵床面積（㎡）
平成20年度,2008,10960,1090263,537,67282,8,1392,521,10182,1713,264198,2,292,98,6612,5,734,1,271,71,5729,23,705
平成21年度,2009,11038,1099291,528,66147,8,1392,510,10194,1702,264720,2,292,99,6621,5,734,1,271,70,5702,22,665
平成22年度,2010,11123,1108399,519,65290,8,1392,505,10150,1702,267187,2,292,99,6637,5,734,1,271,69,5692,21,612
平成23年度,2011,11247,1119338,513,64095,8,1392,493,9873,1695,266223,2,292,98,6822,5,734,1,271,69,5692,21,612
平成24年度,2012,11439,1138070,503,62826,6,1089,470,9488,1693,267333,2,292,96,6873,5,734,1,271,67,5473,21,612
平成25年度,2013,11592,1152628,493,61947,6,1089,455,9305,1688,268473,2,292,97,6995,6,829,1,271,66,5406,21,612
平成26年度,2014,11762,1167960,490,61625,6,1089,442,9175,1668,266198,2,292,98,7036,7,902,1,271,63,4989,21,612
平成27年度,2015,11929,1184483,483,60824,0,0,429,8793,1656,265037,2,292,98,7309,8,1173,0,0,64,4784,21,612
平成28年度,2016,12113,1201538,474,59320,0,0,415,8614,1639,264003,2,292,97,7539,8,1173,0,0,66,4896,20,573
平成29年度,2017,12152,1212122,457,57617,0,0,389,8673,1606,269080,2,292,77,8231,7,1032,0,0,54,4977,33,1065
平成30年度,2018,12297,1225520,451,56791,0,0,379,8434,1591,268209,2,292,79,9646,7,1032,0,0,52,4741,32,1025
平成31年度,2019,12447,1239562,441,55509,0,0,366,7989,1573,266877,2,292,83,10185,7,1032,0,0,51,4709,30,953
令和２年度,2020,12574,1251468,431,54752,0,0,359,7829,1556,264374,2,292,82,9888,7,1022,0,0,52,5082,29,913
令和３年度,2021,12722,1266029,422,53492,0,0,347,7644,1549,264107,2,292,84,10355,8,1109,0,0,49,4662,28,906
令和４年度,2022,12803,1273256,414,52283,0,0,336,7493,1538,263796,1,219,83,10298,9,1486,0,0,46,4476,23,747
