回答者(or No.),問１　お子さんとあなた（回答者）との関係は、以下のどれになりますか。お子さんからみた続き柄で、お答えください。（コード）,問１　お子さんとあなた（回答者）との関係は、以下のどれになりますか。お子さんからみた続き柄で、お答えください。（区分）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（コード）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（区分）,問４　現在のあなたの婚姻状況を教えてください。（コード）,問４　現在のあなたの婚姻状況を教えてください。(区分),問５　離婚相手と子どもの養育費の取り決めをしていますか。また、養育費を現在受け取っていますか。（コード）,問５　離婚相手と子どもの養育費の取り決めをしていますか。また、養育費を現在受け取っていますか。（区分）,問６　お子さんと同居しているご家族の中に、高齢であったり障がいがあったりするなど、介護が必要な方はいますか。（コード）,問６　お子さんと同居しているご家族の中に、高齢であったり障がいがあったりするなど、介護が必要な方はいますか。（区分）,問７　お子さんが病気のときや、ご自身の用事のときなどに頼れる親族や友人などがいますか。（コード）,問７　お子さんが病気のときや、ご自身の用事のときなどに頼れる親族や友人などがいますか。（区分）,問８　両親の国籍／A　母親（コード）,問８　両親の国籍／A　母親（区分）,問８　両親の国籍／B　父親（コード）,問８　両親の国籍／B　父親（区分）,問９　両親の就労状況／A　母親（コード）,問９　両親の就労状況／A　母親（区分）,問９　両親の就労状況／B　父親（コード）,問９　両親の就労状況／B　父親（区分）,問９-1　働いていない最も主な理由／A　母親（コード）,問９-1　働いていない最も主な理由／A　母親（区分）,問９-1　働いていない最も主な理由／B　父親（コード）,問９-1　働いていない最も主な理由／B　父親（区分）,問９-3　平日の日中以外の勤務／A　母親（コード）,問９-3　平日の日中以外の勤務／A　母親（区分）,問９-3　平日の日中以外の勤務／B　父親（コード）,問９-3　平日の日中以外の勤務／B　父親（区分）,問10　昨年１年間（2022年１月～12月）の収入（税込）／A　母親（コード）,問10　昨年１年間（2022年１月～12月）の収入（税込）／A　母親（区分）,問10　昨年１年間（2022年１月～12月）の収入（税込）／B　父親（コード）,問10　昨年１年間（2022年１月～12月）の収入（税込）／B　父親（区分）,問10　昨年１年間（2022年１月～12月）の収入（税込）／C　その他生計を一にする家族（コード）,問10　昨年１年間（2022年１月～12月）の収入（税込）／C　その他生計を一にする家族（区分）,問11　お子さんに、どの段階までの教育を受けさせたいと考えていますか（コード）,問11　お子さんに、どの段階までの教育を受けさせたいと考えていますか（区分）,問11-1　問11で回答した理由を教えてください。（コード）,問11-1　問11で回答した理由を教えてください。（区分）,問12　健康状態／①　あなた（回答者）（コード）,問12　健康状態／①　あなた（回答者）（区分）,問12　健康状態／②　お子さん（コード）,問12　健康状態／②　お子さん（区分）,問13　全体として、あなたは最近の生活に、どのくらい満足していますか。（コード）,問13　全体として、あなたは最近の生活に、どのくらい満足していますか。（区分）,問14　あなたのご家庭では、このお子さんのために就学援助費を受け取っていますか。（コード）,問14　あなたのご家庭では、このお子さんのために就学援助費を受け取っていますか。（区分）,問14-1　受け取っていない理由を教えてください。（コード）,問14-1　受け取っていない理由を教えてください。（区分）,問15　あなたは、平日（お子さんの学校のある日）に毎日、朝ごはんを食べますか。（コード）,問15　あなたは、平日（お子さんの学校のある日）に毎日、朝ごはんを食べますか。（区分）,問16　A　お子さんの勉強をみる（コード）,問16　A　お子さんの勉強をみる（区分）,問16　B　お子さんと外でからだを動かして遊ぶ（スポーツなど）（コード）,問16　B　お子さんと外でからだを動かして遊ぶ（スポーツなど）（区分）,問16　C　お子さんと室内でゲーム等で遊ぶ（テレビゲーム・携帯ゲーム・将棋・トランプ・ボードゲームなど）（コード）,問16　C　お子さんと室内でゲーム等で遊ぶ（テレビゲーム・携帯ゲーム・将棋・トランプ・ボードゲームなど）（区分）,問16　D　お子さんと学校生活、ニュース、テレビ番組等の話をする（コード）,問16　D　お子さんと学校生活、ニュース、テレビ番組等の話をする（区分）,問16　E　お子さんと一緒に家事など（料理等）をする（コード）,問16　E　お子さんと一緒に家事など（料理等）をする（区分）,問16　F　お子さんと一緒に買い物等外出をする（コード）,問16　F　お子さんと一緒に買い物等外出をする（区分）,問17　A　海水浴・登山などに行く（コード）,問17　A　海水浴・登山などに行く（区分）,問17　B　博物館・科学館・美術館などに行く（コード）,問17　B　博物館・科学館・美術館などに行く（区分）,問17　C　キャンプやバーベキューなどに行く（コード）,問17　C　キャンプやバーベキューなどに行く（区分）,問17　D　スポーツ観戦や映画・コンサートなどに行く（コード）,問17　D　スポーツ観戦や映画・コンサートなどに行く（区分）,問17　E　遊園地やテーマパークなどに行く（コード）,問17　E　遊園地やテーマパークなどに行く（区分）,問18　あなたは、お子さんの将来（夢・進路・職業等）について、お子さんと一緒に考えたり、話したりすることがありますか。（コード）,問18　あなたは、お子さんの将来（夢・進路・職業等）について、お子さんと一緒に考えたり、話したりすることがありますか。（区分）,問19　買えなかったこと／①食料（コード）,問19　買えなかったこと／①食料（区分）,問19　買えなかったこと／②衣類（コード）,問19　買えなかったこと／②衣類（区分）,問20　Ａ　電話料金（コード）,問20　Ａ　電話料金（区分）,問20　Ｂ　電気料金（コード）,問20　Ｂ　電気料金（区分）,問20　Ｃ　ガス料金（コード）,問20　Ｃ　ガス料金（区分）,問20　Ｄ　水道料金（コード）,問20　Ｄ　水道料金（区分）,問20　Ｅ　家賃（コード）,問20　Ｅ　家賃（区分）,問20　Ｆ　住宅ローン（コード）,問20　Ｆ　住宅ローン（区分）,問20　Ｇ　その他の債務（コード）,問20　Ｇ　その他の債務（区分）,問21　Ａ　毎月お小遣いを渡す（コード）,問21　Ａ　毎月お小遣いを渡す（区分）,問21　Ｂ　毎年新しい洋服・靴を買う（コード）,問21　Ｂ　毎年新しい洋服・靴を買う（区分）,問21　Ｃ　習い事(音楽、スポーツ、習字等)に通わせる（コード）,問21　Ｃ　習い事(音楽、スポーツ、習字等)に通わせる（区分）,問21　Ｄ　学習塾に通わせる（または家庭教師に来てもらう）（コード）,問21　Ｄ　学習塾に通わせる（または家庭教師に来てもらう）（区分）,問21　Ｅ　お誕生日のお祝いをする（コード）,問21　Ｅ　お誕生日のお祝いをする（区分）,問21　Ｆ　１年に１回くらい家族旅行に行く（コード）,問21　Ｆ　１年に１回くらい家族旅行に行く（区分）,問21　Ｇ　クリスマスのプレゼントや正月のお年玉をあげる（コード）,問21　Ｇ　クリスマスのプレゼントや正月のお年玉をあげる（区分）,問21　Ｈ　子どもの学校行事などに親が参加する（コード）,問21　Ｈ　子どもの学校行事などに親が参加する（区分）,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（コード）,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（区分）,問23　最後に通った学校／A　母親（コード）,問23　最後に通った学校／A　母親（区分）,問23　最後に通った学校／B　父親（コード）,問23　最後に通った学校／B　父親（区分）,問23-1　学校を卒業したか／A　母親（コード）,問23-1　学校を卒業したか／A　母親（区分）,問23-1　学校を卒業したか／B　父親（コード）,問23-1　学校を卒業したか／B　父親（区分）,問24　あなたが15歳前後当時の、あなたのご家庭の暮らしの状況について、最も近いものを教えてください。（コード）,問24　あなたが15歳前後当時の、あなたのご家庭の暮らしの状況について、最も近いものを教えてください。（区分）,問25　あなたは、成人する前に以下のような体験をしたことがありますか。（コード）,問25　あなたは、成人する前に以下のような体験をしたことがありますか。（区分）,問26　あなたはお子さんをもってから、以下のような経験をしたことがありますか。（コード）,問26　あなたはお子さんをもってから、以下のような経験をしたことがありますか。（区分）,問27　A　現在の受け取り方法（コード）,問27　A　現在の受け取り方法（区分）,問27　B　今後、受け取りたい方法（コード）,問27　B　今後、受け取りたい方法（区分）,問28　あなたは、本当に困ったときや悩みがあるとき、相談できる人（家族、友人、親戚、同僚など）がいますか。（コード）,問28　あなたは、本当に困ったときや悩みがあるとき、相談できる人（家族、友人、親戚、同僚など）がいますか。（区分）,問29　Ａ　市役所の窓口（コード）,問29　Ａ　市役所の窓口（区分）,問29　Ｂ　子ども家庭支援センター（コード）,問29　Ｂ　子ども家庭支援センター（区分）,問29　Ｃ　学校・保育所・幼稚園の先生、スクールカウンセラーなど（コード）,問29　Ｃ　学校・保育所・幼稚園の先生、スクールカウンセラーなど（区分）,問29　Ｄ　民生委員・児童委員（コード）,問29　Ｄ　民生委員・児童委員（区分）,問29　Ｅ　児童相談所（コード）,問29　Ｅ　児童相談所（区分）,問29　Ｆ　ハローワーク（コード）,問29　Ｆ　ハローワーク（区分）,問29　Ｇ　上記以外の公的機関（コード）,問29　Ｇ　上記以外の公的機関（区分）,問30　あなたは「子どもの権利条約」について知っていますか。（コード）,問30　あなたは「子どもの権利条約」について知っていますか。（区分）
,1,父親,1,父親,1,結婚している（事実婚を含む）,1,取り決めをしており、受け取っている,1,いる,1,いる,1,日本,1,日本,1,正社員・正規職員・会社役員,1,正社員・正規職員・会社役員,1,働きたいが、希望する条件の仕事がないため,1,働きたいが、希望する条件の仕事がないため,1,早朝（5～8時）,1,早朝（5～8時）,1,収入はない（0円）,1,収入はない（0円）,1,収入はない（0円）,1,中学まで,1,子どもがそう希望しているから,1,よい,1,よい,1,"全く満足して
いない",1,受け取っている,1,申請しなかった（必要であるが、申請要件を満たしていなかった）,1,いつも食べる（週に５日）,1,ほぼ毎日,1,ほぼ毎日,1,ほぼ毎日,1,ほぼ毎日,1,ほぼ毎日,1,ほぼ毎日,1,ある,1,ある,1,ある,1,ある,1,ある,1,よくする,1,よくあった,1,よくあった,1,あった,1,あった,1,あった,1,あった,1,あった,1,あった,1,あった,1,している,1,している,1,している,1,している,1,している,1,している,1,している,1,している,1,子どもの年齢に合った本,1,中学校,1,中学校,1,卒業した,1,卒業した,1,大変ゆとりがあった,1,両親が離婚した,1,（元）配偶者（またはパートナー）から暴力を振るわれたことがある,1,行政機関の広報誌,1,行政機関の広報誌,1,いる,1,相談したことがある,1,相談したことがある,1,相談したことがある,1,相談したことがある,1,相談したことがある,1,相談したことがある,1,相談したことがある,1,くわしく知っている
,2,母親,2,母親,2,離婚（別居中を含む）,2,特に取り決めはしていないが、受け取っている,2,いない,2,いない,2,日本以外,2,日本以外,2,嘱託・契約社員・派遣職員,2,嘱託・契約社員・派遣職員,2,子育てを優先したいため,2,子育てを優先したいため,2,夜勤（20時～22時）,2,夜勤（20時～22時）,2,1～50万円未満,2,1～50万円未満,2,1～50万円未満,2,高校まで,2,一般的な進路だと思うから,2,まあよい,2,まあよい,2,"あまり満足して
いない",2,受け取っていない,2,申請しなかった（必要であるが、申請の仕方がわからなかった）,2,食べるほうが多い（週に３、４日）,2,週に数回,2,週に数回,2,週に数回,2,週に数回,2,週に数回,2,週に数回,2,ない（金銭的な理由で）,2,ない（金銭的な理由で）,2,ない（金銭的な理由で）,2,ない（金銭的な理由で）,2,ない（金銭的な理由で）,2,たまにする,2,ときどきあった,2,ときどきあった,2,なかった,2,なかった,2,なかった,2,なかった,2,なかった,2,なかった,2,なかった,2,していない（したくない (方針でしない)）,2,していない（したくない (方針でしない)）,2,していない（したくない (方針でしない)）,2,していない（したくない (方針でしない)）,2,していない（したくない (方針でしない)）,2,していない（したくない (方針でしない)）,2,していない（したくない (方針でしない)）,2,していない（したくない (方針でしない)）,2,子ども用のスポーツ用品・おもちゃ,2,高等学校（全日制）,2,高等学校（全日制）,2,中途退学した,2,中途退学した,2,ややゆとりがあった,2,親が生活保護を受けていた,2,子どもに行き過ぎた体罰を与えたことがある,2,行政機関のホームページ,2,行政機関のホームページ,2,いない,2,相談したことがない（相談したいと思ったことがなかった）,2,相談したことがない（相談したいと思ったことがなかった）,2,相談したことがない（相談したいと思ったことがなかった）,2,相談したことがない（相談したいと思ったことがなかった）,2,相談したことがない（相談したいと思ったことがなかった）,2,相談したことがない（相談したいと思ったことがなかった）,2,相談したことがない（相談したいと思ったことがなかった）,2,知っているが内容までは知らない
,3,祖父,3,祖父（ 人）,3,死別,3,取り決めをしているが、受け取っていない,,,,,,,,,3,パート・アルバイト・日雇い・非常勤職員,3,パート・アルバイト・日雇い・非常勤職員,3,家族の介護・介助のため,3,家族の介護・介助のため,3,深夜勤務（22時～5時）,3,深夜勤務（22時～5時）,3,50～100万円未満,3,50～100万円未満,3,50～100万円未満,3,短大・高専・専門学校まで,3,子どもの学力から考えて,3,ふつう,3,ふつう,3,ふつう,3,わからない,3,申請しなかった（必要であるが、申請することに抵抗があった）,3,食べないほうが多い（週に１、２日）,3,月に数回,3,月に数回,3,月に数回,3,月に数回,3,月に数回,3,月に数回,3,ない（時間の制約で）,3,ない（時間の制約で）,3,ない（時間の制約で）,3,ない（時間の制約で）,3,ない（時間の制約で）,3,あまりしない,3,まれにあった,3,まれにあった,3,該当しない（払う必要がない）,3,該当しない（払う必要がない）,3,該当しない（払う必要がない）,3,該当しない（払う必要がない）,3,該当しない（払う必要がない）,3,該当しない（払う必要がない）,3,該当しない（払う必要がない）,3,していない（経済的にできない）,3,していない（経済的にできない）,3,していない（経済的にできない）,3,していない（経済的にできない）,3,していない（経済的にできない）,3,していない（経済的にできない）,3,していない（経済的にできない）,3,していない（経済的にできない）,3,子どもが自宅で宿題をすることができる場所,3,高等学校（定時制または通信制）,3,高等学校（定時制または通信制）,3,その他（具体的に ）,3,その他（具体的に ）,3,ふつう,3,母親が亡くなった,3,育児放棄（ネグレクト）になった時期がある,3,SNS（LINE、Ｘ（旧Twitter）など）,3,SNS（LINE、Ｘ（旧Twitter）など）,,,3,相談したことがない（相談したかったが、抵抗感があった）,3,相談したことがない（相談したかったが、抵抗感があった）,3,相談したことがない（相談したかったが、抵抗感があった）,3,相談したことがない（相談したかったが、抵抗感があった）,3,相談したことがない（相談したかったが、抵抗感があった）,3,相談したことがない（相談したかったが、抵抗感があった）,3,相談したことがない（相談したかったが、抵抗感があった）,3,聞いたことがある
,4,祖母,4,祖母（ 人）,4,未婚・非婚,4,取り決めをしておらず、受け取っていない,,,,,,,,,4,自営業(家族従業者、内職、自由業、 フリーランスを含む。),4,自営業(家族従業者、内職、自由業、 フリーランスを含む。),4,自分の病気や障がいのため,4,自分の病気や障がいのため,4,土曜出勤,4,土曜出勤,4,100～200万円未満,4,100～200万円未満,4,100～200万円未満,4,大学またはそれ以上,4,家庭の経済的な状況から考えて,4,あまりよくない,4,あまりよくない,4,満足している,,,4,申請しなかった（必要ないと判断した）,4,いつも食べない,4,めったにない,4,めったにない,4,めったにない,4,めったにない,4,めったにない,4,めったにない,4,ない（その他の理由で）,4,ない（その他の理由で）,4,ない（その他の理由で）,4,ない（その他の理由で）,4,ない（その他の理由で）,4,これまで特にしたことがない,4,全くなかった,4,全くなかった,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Ｗｉ-Fｉ環境,4,高等専修学校（中学校卒業後に進む１～４年間の専修学校）,4,高等専修学校（中学校卒業後に進む１～４年間の専修学校）,,,,,4,やや苦しかった,4,父親が亡くなった,4,出産や育児でうつ病（状態）になった時期がある,4,学校からのお便り（紙のもの）,4,学校からのお便り（紙のもの）,,,4,相談したことがない（相談時間や場所などが使いづらかった）,4,相談したことがない（相談時間や場所などが使いづらかった）,4,相談したことがない（相談時間や場所などが使いづらかった）,4,相談したことがない（相談時間や場所などが使いづらかった）,4,相談したことがない（相談時間や場所などが使いづらかった）,4,相談したことがない（相談時間や場所などが使いづらかった）,4,相談したことがない（相談時間や場所などが使いづらかった）,4,知らない
,5,その他（具体的に ）,5,兄（ 人）,,,,,,,,,,,,,5,働いていない（専業主婦／主夫を含む。）,5,働いていない（専業主婦／主夫を含む。）,5,通学しているため,5,通学しているため,5,日曜・祝日出勤,5,日曜・祝日出勤,5,200～300万円未満,5,200～300万円未満,5,200～300万円未満,5,まだわからない,5,その他（ ）,5,よくない,5,よくない,5,"とても満足
している",,,5,申請したが、認定されなかった,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,親のスマートフォン,5,高等専門学校（中学校卒業後に進む５年間の学校、高専）,5,高等専門学校（中学校卒業後に進む５年間の学校、高専）,,,,,5,大変苦しかった,5,親から暴力を振るわれた,5,わが子を虐待しているのではないか、と思い悩んだことがある,5,学校からのメール,5,学校からのメール,,,5,相談したことがない（相談する窓口や方法がわからなかった）,5,相談したことがない（相談する窓口や方法がわからなかった）,5,相談したことがない（相談する窓口や方法がわからなかった）,5,相談したことがない（相談する窓口や方法がわからなかった）,5,相談したことがない（相談する窓口や方法がわからなかった）,5,相談したことがない（相談する窓口や方法がわからなかった）,5,相談したことがない（相談する窓口や方法がわからなかった）,,
,6,"施設職員（→施設職員の方は以後の設問に対して、回答できる範囲で
回答してください）",6,姉（ 人）,,,,,,,,,,,,,6,わからない,6,わからない,6,その他の理由,6,その他の理由,6,その他（具体的に　　　　）,6,その他（具体的に　　　　）,6,300～400万円未満,6,300～400万円未満,6,300～400万円未満,,,6,特に理由はない,,,,,,,,,6,就学援助制度を知らなかった,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,子どものスマートフォン,6,短期大学,6,短期大学,,,,,,,6,育児放棄（ネグレクト）された,6,自殺を考えたことがある,6,家族や友人からの情報,6,家族や友人からの情報,,,,,,,,,,,,,,,,,,
,,,7,弟 （ 人）,,,,,,,,,,,,,7,いない,7,いない,,,,,7,平日の日中以外の勤務はない,7,平日の日中以外の勤務はない,7,400～500万円未満,7,400～500万円未満,7,400～500万円未満,,,,,,,,,,,,,7,その他（具体的に： ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,急な出費のための貯金（5万円以上）,7,専門学校（高校卒業後に進む１～４年間程度の専修学校専門課程）,7,専門学校（高校卒業後に進む１～４年間程度の専修学校専門課程）,,,,,,,7,児童養護施設などにいた,7,１～６のいずれも経験したことがない,7,その他（具体的に ）,7,その他（具体的に ）,,,,,,,,,,,,,,,,,,
,,,8,妹 （ 人）,,,,,,,,,,,,,,,,,,,,,,,,,8,500～600万円未満,8,500～600万円未満,8,500～600万円未満,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,あてはまるものはない,8,大学,8,大学,,,,,,,8,１～７のいずれも経験したことがない,,,8,受け取っていない,8,受け取りたいと思わない,,,,,,,,,,,,,,,,,,
,,,9,その他の親戚（ 人）,,,,,,,,,,,,,,,,,,,,,,,,,9,600～700万円未満,9,600～700万円未満,9,600～700万円未満,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,大学院,9,大学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10,その他（ 人）,,,,,,,,,,,,,,,,,,,,,,,,,10,700～800万円未満,10,700～800万円未満,10,700～800万円未満,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,その他,10,その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
